src,src_name,dest,dest_name,weight
1,ABCA1,122,APOA1,7.108768234805514e-05
3,ABCC8,303,CACNA1A,6.909256221184586e-40
3,ABCC8,304,CACNA1B,2.663492069345953e-32
3,ABCC8,305,CACNA1C,6.888741211666871e-40
3,ABCC8,306,CACNA1D,8.894556367780754e-30
3,ABCC8,307,CACNA1E,6.775728826016515e-40
3,ABCC8,308,CACNA1G,6.813939899641212e-40
4,ABCF2,360,CASP9,0.00015103263043177625
6,ABI1,287,BRK1,6.7631638497864025e-40
6,ABI1,600,CYFIP1,1.9675574112332523e-24
6,ABI1,601,CYFIP2,1.4628579262521456e-38
6,ABI1,1575,NCKAP1,6.831668660712362e-40
6,ABI1,2709,WASF1,3.5513931158339694e-19
6,ABI1,2710,WASF2,7.418839430063922e-28
6,ABI1,2711,WASF3,5.132436519570372e-21
7,ABI2,287,BRK1,6.753394463992618e-40
7,ABI2,600,CYFIP1,8.23970737065058e-40
7,ABI2,601,CYFIP2,6.834786549795485e-40
7,ABI2,1575,NCKAP1,5.369943637558674e-39
7,ABI2,2709,WASF1,6.836851129532923e-40
8,ABL1,367,CBL,0.0004203066127956845
8,ABL1,546,CRK,0.0011987643980925593
8,ABL1,547,CRKL,0.0011675871422388202
8,ABL1,767,ENAH,0.0005828602373488442
8,ABL1,1015,GRB2,0.0005167189686593096
8,ABL1,1535,MYC,0.0010478213937640628
8,ABL1,2071,RAC1,0.0010548400293070397
8,ABL1,2072,RAC3,0.0008783119089154449
8,ABL1,2118,RB1,0.000645612990410882
8,ABL1,2175,ROBO1,0.0007117427594494075
8,ABL1,2176,ROBO2,0.00032385765613677603
8,ABL1,2298,SHC2,0.0010709642762473475
8,ABL1,2299,SHC4,0.00108468370550933
8,ABL1,2439,STAT5A,0.002649382377664248
8,ABL1,2440,STAT5B,0.0005487534102333788
9,ABL2,2071,RAC1,0.00168070444760815
9,ABL2,2072,RAC3,0.0015188317862945648
19,ACP1,571,CTNNB1,1.986696891738878e-06
26,ACTB,27,ACTG1,1.5808571226827003e-34
26,ACTB,28,ACTL6A,6.8613878656432505e-40
26,ACTB,30,ACTN1,1.825971451878496e-28
26,ACTB,31,ACTN4,0.012913178652524948
26,ACTB,32,ACTR2,6.981908875564947e-40
26,ACTB,33,ACTR3,7.487265019193133e-18
26,ACTB,34,ACTR3B,6.9602121043423175e-40
26,ACTB,35,ACTR3C,6.849680016973817e-40
26,ACTB,153,ARID1A,6.826799148548833e-40
26,ACTB,159,ARPC1A,6.718924857267668e-40
26,ACTB,160,ARPC1B,1.4920470041482525e-32
26,ACTB,161,ARPC2,1.2127428069369732e-27
26,ACTB,162,ARPC3,2.7187803332973925e-29
26,ACTB,163,ARPC4,6.8461627578283614e-40
26,ACTB,164,ARPC5,6.881916888145609e-40
26,ACTB,165,ARPC5L,6.971534595934062e-40
26,ACTB,443,CFL1,6.916428376837335e-26
26,ACTB,444,CFL2,1.2697417619467654e-21
26,ACTB,569,CTNNA1,8.629898127841438e-24
26,ACTB,570,CTNNA2,3.123480568518559e-13
26,ACTB,660,DPF1,6.868576526765237e-40
26,ACTB,661,DPF3,0.024659077326456707
26,ACTB,1219,ITGB3,8.04771213248993e-05
26,ACTB,1547,MYL6,6.845501812052688e-40
26,ACTB,1548,MYL6B,6.879177349647854e-40
26,ACTB,1549,MYL9,6.800417369460478e-40
26,ACTB,1838,PFN1,2.3048715471910935e-05
26,ACTB,1839,PFN2,2.974296637308781e-18
26,ACTB,1840,PFN3,6.818377344778241e-40
26,ACTB,1841,PFN4,6.9883548485008414e-40
26,ACTB,1936,PPARG,2.2639940046550084e-05
26,ACTB,2359,SMARCA2,0.12716368834177652
26,ACTB,2360,SMARCA4,1.3018427716139725e-26
26,ACTB,2361,SMARCB1,1.4386134826610833e-26
26,ACTB,2362,SMARCC1,6.7514770205939335e-40
26,ACTB,2363,SMARCC2,6.8137460533536476e-40
26,ACTB,2364,SMARCD1,1.0465805440082105e-39
26,ACTB,2365,SMARCD2,6.949055433068852e-40
26,ACTB,2366,SMARCD3,0.0033470562969644866
26,ACTB,2367,SMARCE1,2.443646432312622e-23
26,ACTB,2447,STK3,4.44439639675606e-22
26,ACTB,2476,SYNPO,6.892751260772281e-40
26,ACTB,2551,TJP1,4.774078358119974e-05
26,ACTB,2694,VCL,6.79115011561641e-40
27,ACTG1,28,ACTL6A,2.145593633274799e-19
27,ACTG1,30,ACTN1,6.869017935781499e-40
27,ACTG1,31,ACTN4,4.528067317248012e-06
27,ACTG1,32,ACTR2,6.866107905970584e-40
27,ACTG1,33,ACTR3,6.758976302875512e-40
27,ACTG1,34,ACTR3B,2.8503753942342446e-35
27,ACTG1,35,ACTR3C,6.870989095621316e-40
27,ACTG1,153,ARID1A,6.942674854061292e-40
27,ACTG1,159,ARPC1A,6.826462836917395e-40
27,ACTG1,160,ARPC1B,8.346575062534873e-40
27,ACTG1,161,ARPC2,1.1088771078453031e-36
27,ACTG1,162,ARPC3,2.2992570585408358e-32
27,ACTG1,163,ARPC4,6.9299417220154614e-40
27,ACTG1,164,ARPC5,7.953759783963949e-38
27,ACTG1,165,ARPC5L,6.929469951532472e-40
27,ACTG1,443,CFL1,6.841505775931922e-40
27,ACTG1,444,CFL2,6.753541600331372e-40
27,ACTG1,569,CTNNA1,6.899183220723532e-40
27,ACTG1,570,CTNNA2,6.824106319999889e-40
27,ACTG1,660,DPF1,7.014325580039661e-40
27,ACTG1,661,DPF3,6.872432433039571e-40
27,ACTG1,1219,ITGB3,1.1521651079722991e-05
27,ACTG1,1547,MYL6,6.96017940737815e-40
27,ACTG1,1548,MYL6B,6.901114677106859e-40
27,ACTG1,1549,MYL9,6.723467399789521e-40
27,ACTG1,1838,PFN1,1.74954786397346e-30
27,ACTG1,1839,PFN2,6.902994752546495e-40
27,ACTG1,1840,PFN3,6.755589831586727e-40
27,ACTG1,1841,PFN4,6.623553702039819e-13
27,ACTG1,1936,PPARG,4.93100469611818e-06
27,ACTG1,2359,SMARCA2,6.852765209092772e-40
27,ACTG1,2360,SMARCA4,7.0168525882703266e-40
27,ACTG1,2361,SMARCB1,6.9121989479596684e-40
27,ACTG1,2362,SMARCC1,5.631189249558222e-29
27,ACTG1,2363,SMARCC2,2.788708176619063e-05
27,ACTG1,2447,STK3,3.1549303236634084e-34
27,ACTG1,2476,SYNPO,1.0739593327167404e-34
27,ACTG1,2551,TJP1,0.00012273225972118476
27,ACTG1,2694,VCL,6.9894174998362875e-40
28,ACTL6A,1936,PPARG,1.7896098142955452e-05
28,ACTL6A,2359,SMARCA2,1.282209045910623e-22
28,ACTL6A,2360,SMARCA4,6.882563820936639e-40
28,ACTL6A,2361,SMARCB1,9.929780481494225e-27
28,ACTL6A,2362,SMARCC1,6.8888976899953875e-40
28,ACTL6A,2363,SMARCC2,6.938127015567055e-30
29,ACTL6B,26,ACTB,1.4081598823183773e-36
29,ACTL6B,27,ACTG1,6.938456945683675e-40
29,ACTL6B,28,ACTL6A,5.706618019677859e-17
29,ACTL6B,153,ARID1A,6.957409507413668e-40
29,ACTL6B,154,ARID1B,3.561005888312133e-11
29,ACTL6B,660,DPF1,6.861495298525516e-40
29,ACTL6B,661,DPF3,6.858961283802528e-40
29,ACTL6B,1789,PBRM1,3.0369495700138795e-38
29,ACTL6B,1848,PHF10,1.6834984955446105e-34
29,ACTL6B,1936,PPARG,6.858608623689007e-40
29,ACTL6B,2359,SMARCA2,6.8279131808279715e-40
29,ACTL6B,2360,SMARCA4,6.917206254472189e-40
29,ACTL6B,2361,SMARCB1,4.115103215867607e-29
29,ACTL6B,2362,SMARCC1,6.705624199343785e-40
29,ACTL6B,2363,SMARCC2,4.349358473862868e-21
29,ACTL6B,2364,SMARCD1,6.9281317114990416e-40
29,ACTL6B,2365,SMARCD2,5.244585695998376e-29
29,ACTL6B,2366,SMARCD3,6.789697436208393e-40
29,ACTL6B,2367,SMARCE1,6.954387373725608e-40
30,ACTN1,1206,ITGA1,5.710786111497631e-05
30,ACTN1,1207,ITGA11,5.632387183140963e-05
30,ACTN1,1208,ITGA2,4.1655745008029044e-05
30,ACTN1,1209,ITGA3,4.58241750796636e-05
30,ACTN1,1210,ITGA4,3.6001477080086865e-05
30,ACTN1,1211,ITGA5,2.6055133882133912e-05
30,ACTN1,1212,ITGA6,8.699633932944076e-06
30,ACTN1,1213,ITGA7,9.359250422373103e-06
30,ACTN1,1214,ITGA9,5.138826357627598e-06
30,ACTN1,1215,ITGAV,6.344963670320188e-06
30,ACTN1,1217,ITGB1,6.053382245833442e-07
30,ACTN1,1219,ITGB3,1.0821684554684907e-05
30,ACTN1,1220,ITGB4,6.969858683684531e-06
30,ACTN1,1221,ITGB5,3.968109316095554e-06
30,ACTN1,1222,ITGB8,7.317688626547661e-05
30,ACTN1,1340,LMO7,6.869232801546029e-40
30,ACTN1,1459,MICALL2,1.3451328672671556e-34
30,ACTN1,2432,SSX2IP,6.828522745659953e-40
31,ACTN4,1206,ITGA1,6.892448679233591e-05
31,ACTN4,1207,ITGA11,7.418732760318865e-05
31,ACTN4,1208,ITGA2,2.606575738658042e-06
31,ACTN4,1209,ITGA3,6.530464452225715e-05
31,ACTN4,1210,ITGA4,3.346254137189438e-05
31,ACTN4,1211,ITGA5,7.403104973491281e-05
31,ACTN4,1212,ITGA6,4.515179413526008e-05
31,ACTN4,1213,ITGA7,1.44725899531295e-05
31,ACTN4,1214,ITGA9,1.3897670820976296e-05
31,ACTN4,1215,ITGAV,1.909926989659046e-05
31,ACTN4,1217,ITGB1,4.087597214189979e-06
31,ACTN4,1219,ITGB3,2.1446501098883648e-05
31,ACTN4,1220,ITGB4,1.5374700979009503e-07
31,ACTN4,1221,ITGB5,2.9044143351105354e-06
31,ACTN4,1222,ITGB8,6.467136942471068e-05
31,ACTN4,1340,LMO7,6.941824732992936e-40
31,ACTN4,1459,MICALL2,6.844623665015045e-40
31,ACTN4,2432,SSX2IP,5.2026009905815376e-18
32,ACTR2,26,ACTB,7.0121582384148384e-40
32,ACTR2,27,ACTG1,4.4358858487183846e-33
32,ACTR2,34,ACTR3B,3.0650085711364873e-29
32,ACTR2,35,ACTR3C,1.1853148670915026e-13
32,ACTR2,2723,WHAMM,4.56056936750566e-28
33,ACTR3,26,ACTB,6.799775107664329e-40
33,ACTR3,27,ACTG1,6.8700385481630155e-40
33,ACTR3,32,ACTR2,3.4601805990049242e-18
33,ACTR3,34,ACTR3B,6.888362861081503e-40
33,ACTR3,35,ACTR3C,6.845578883468226e-40
33,ACTR3,2723,WHAMM,6.695847807057679e-40
34,ACTR3B,26,ACTB,6.801977481750759e-40
34,ACTR3B,27,ACTG1,6.920475950888947e-40
34,ACTR3B,35,ACTR3C,1.802699392700915e-30
