src,src_name,dest,dest_name,weight,edge_type
1,ABCA1,122,APOA1,1.7459395166952163e-05,gene-gene
3,ABCC8,303,CACNA1A,1.1203992570961839e-35,gene-gene
3,ABCC8,304,CACNA1B,7.606937036100066e-40,gene-gene
3,ABCC8,305,CACNA1C,7.600418662743516e-40,gene-gene
3,ABCC8,306,CACNA1D,7.573504390238718e-40,gene-gene
3,ABCC8,307,CACNA1E,7.675815526616513e-40,gene-gene
3,ABCC8,308,CACNA1G,1.5985155085039802e-33,gene-gene
4,ABCF2,360,CASP9,0.0015056428552876848,gene-gene
6,ABI1,287,BRK1,2.184890925590229e-11,gene-gene
6,ABI1,600,CYFIP1,7.610669161010052e-40,gene-gene
6,ABI1,601,CYFIP2,9.483191601923137e-40,gene-gene
6,ABI1,1575,NCKAP1,2.9019218697468345e-24,gene-gene
6,ABI1,2709,WASF1,3.893440987899705e-39,gene-gene
6,ABI1,2710,WASF2,3.959917047954461e-35,gene-gene
6,ABI1,2711,WASF3,3.002878833427505e-28,gene-gene
7,ABI2,287,BRK1,1.4762065217323975e-24,gene-gene
7,ABI2,600,CYFIP1,0.04266829788684845,gene-gene
7,ABI2,601,CYFIP2,7.65164312810691e-40,gene-gene
7,ABI2,1575,NCKAP1,7.596735583279782e-40,gene-gene
7,ABI2,2709,WASF1,7.68585349461596e-40,gene-gene
8,ABL1,367,CBL,0.0010205693445944537,gene-gene
8,ABL1,546,CRK,0.0004938632543295777,gene-gene
8,ABL1,547,CRKL,0.0004577195068122819,gene-gene
8,ABL1,767,ENAH,0.00030855934759739984,gene-gene
8,ABL1,1015,GRB2,0.00032048687474646914,gene-gene
8,ABL1,1535,MYC,0.0012300264788791537,gene-gene
8,ABL1,2071,RAC1,0.0010224790263843413,gene-gene
8,ABL1,2072,RAC3,0.0005887902327685879,gene-gene
8,ABL1,2118,RB1,0.001997416232673762,gene-gene
8,ABL1,2175,ROBO1,0.0003297539233860412,gene-gene
8,ABL1,2176,ROBO2,0.00048817914497097564,gene-gene
8,ABL1,2298,SHC2,0.0008817845082376152,gene-gene
8,ABL1,2299,SHC4,0.001383632169260333,gene-gene
8,ABL1,2439,STAT5A,0.0011510652766446583,gene-gene
8,ABL1,2440,STAT5B,0.0014873092804918997,gene-gene
9,ABL2,2071,RAC1,0.0017428080512521167,gene-gene
9,ABL2,2072,RAC3,0.0008610257791588083,gene-gene
19,ACP1,571,CTNNB1,3.3991653860236205e-05,gene-gene
26,ACTB,27,ACTG1,7.602695772748044e-40,gene-gene
26,ACTB,28,ACTL6A,3.999425628201728e-39,gene-gene
26,ACTB,30,ACTN1,7.5609160590342e-40,gene-gene
26,ACTB,31,ACTN4,7.602303409178033e-40,gene-gene
26,ACTB,32,ACTR2,3.4701772972891245e-17,gene-gene
26,ACTB,33,ACTR3,1.55124115268486e-36,gene-gene
26,ACTB,34,ACTR3B,5.615410369428083e-21,gene-gene
26,ACTB,35,ACTR3C,4.0373646064185365e-24,gene-gene
26,ACTB,153,ARID1A,1.1765647934834251e-23,gene-gene
26,ACTB,159,ARPC1A,7.659644542338204e-40,gene-gene
26,ACTB,160,ARPC1B,6.403975744378795e-32,gene-gene
26,ACTB,161,ARPC2,7.538471035799206e-24,gene-gene
26,ACTB,162,ARPC3,6.6587437193751e-08,gene-gene
26,ACTB,163,ARPC4,7.62188188422209e-40,gene-gene
26,ACTB,164,ARPC5,7.567077101282347e-40,gene-gene
26,ACTB,165,ARPC5L,1.3184649328566228e-38,gene-gene
26,ACTB,443,CFL1,7.517015713644343e-40,gene-gene
26,ACTB,444,CFL2,7.64681799039475e-40,gene-gene
26,ACTB,569,CTNNA1,7.531661618093979e-40,gene-gene
26,ACTB,570,CTNNA2,7.708194863132178e-40,gene-gene
26,ACTB,660,DPF1,7.680439811548785e-40,gene-gene
26,ACTB,661,DPF3,7.550945820460528e-40,gene-gene
26,ACTB,1219,ITGB3,2.8903559723403305e-05,gene-gene
26,ACTB,1547,MYL6,7.68793208733804e-40,gene-gene
26,ACTB,1548,MYL6B,7.782456287518646e-28,gene-gene
26,ACTB,1549,MYL9,7.508516838458213e-40,gene-gene
26,ACTB,1838,PFN1,7.721731406297555e-40,gene-gene
26,ACTB,1839,PFN2,7.559741303821606e-40,gene-gene
26,ACTB,1840,PFN3,4.200964119404271e-26,gene-gene
26,ACTB,1841,PFN4,6.777156933095962e-18,gene-gene
26,ACTB,1936,PPARG,0.00010858755558729172,gene-gene
26,ACTB,2359,SMARCA2,7.70061150294274e-40,gene-gene
26,ACTB,2360,SMARCA4,4.231848990333359e-36,gene-gene
26,ACTB,2361,SMARCB1,7.636347955368804e-40,gene-gene
26,ACTB,2362,SMARCC1,2.1160429139953553e-38,gene-gene
26,ACTB,2363,SMARCC2,2.470159403410337e-35,gene-gene
26,ACTB,2364,SMARCD1,7.58236526752813e-40,gene-gene
26,ACTB,2365,SMARCD2,7.646325200434797e-40,gene-gene
26,ACTB,2366,SMARCD3,1.4233324813778605e-39,gene-gene
26,ACTB,2367,SMARCE1,7.547514974720372e-40,gene-gene
26,ACTB,2447,STK3,1.617986996677793e-26,gene-gene
26,ACTB,2476,SYNPO,7.4988782405211e-40,gene-gene
26,ACTB,2551,TJP1,1.0105217976767259e-05,gene-gene
26,ACTB,2694,VCL,5.660871976151928e-38,gene-gene
27,ACTG1,28,ACTL6A,7.712795793090045e-40,gene-gene
27,ACTG1,30,ACTN1,1.5547692093020824e-38,gene-gene
27,ACTG1,31,ACTN4,7.71955238718553e-40,gene-gene
27,ACTG1,32,ACTR2,1.5176814765206495e-21,gene-gene
27,ACTG1,33,ACTR3,3.225772231343181e-15,gene-gene
27,ACTG1,34,ACTR3B,2.433711565608121e-10,gene-gene
27,ACTG1,35,ACTR3C,2.902457269553331e-23,gene-gene
27,ACTG1,153,ARID1A,7.577593846257105e-40,gene-gene
27,ACTG1,159,ARPC1A,7.4276108621052155e-25,gene-gene
27,ACTG1,160,ARPC1B,7.523613493913873e-40,gene-gene
27,ACTG1,161,ARPC2,7.502883618631627e-40,gene-gene
27,ACTG1,162,ARPC3,7.56277511499687e-40,gene-gene
27,ACTG1,163,ARPC4,7.62666731847776e-40,gene-gene
27,ACTG1,164,ARPC5,5.6157645522649025e-39,gene-gene
27,ACTG1,165,ARPC5L,7.651133989664871e-40,gene-gene
27,ACTG1,443,CFL1,9.516176141670896e-20,gene-gene
27,ACTG1,444,CFL2,7.624847965971579e-40,gene-gene
27,ACTG1,569,CTNNA1,8.691197846181345e-34,gene-gene
27,ACTG1,570,CTNNA2,7.686266877662936e-40,gene-gene
27,ACTG1,660,DPF1,2.799973349960133e-31,gene-gene
27,ACTG1,661,DPF3,7.493763501126314e-40,gene-gene
27,ACTG1,1219,ITGB3,0.010810919639576847,gene-gene
27,ACTG1,1547,MYL6,0.08336585760116577,gene-gene
27,ACTG1,1548,MYL6B,6.27467867871458e-39,gene-gene
27,ACTG1,1549,MYL9,1.0698073097640612e-29,gene-gene
27,ACTG1,1838,PFN1,5.100014088093964e-37,gene-gene
27,ACTG1,1839,PFN2,1.4126244227004908e-21,gene-gene
27,ACTG1,1840,PFN3,3.847849845840226e-27,gene-gene
27,ACTG1,1841,PFN4,9.91510857255968e-25,gene-gene
27,ACTG1,1936,PPARG,1.2454876317254579e-05,gene-gene
27,ACTG1,2359,SMARCA2,1.1685662841978791e-31,gene-gene
27,ACTG1,2360,SMARCA4,7.620011150772217e-40,gene-gene
27,ACTG1,2361,SMARCB1,7.573116697663587e-40,gene-gene
27,ACTG1,2362,SMARCC1,7.576846487076132e-40,gene-gene
27,ACTG1,2363,SMARCC2,2.547572582519327e-08,gene-gene
27,ACTG1,2447,STK3,7.594883533809433e-40,gene-gene
