src,src_name,dest,dest_name,weight
1,ABCA1,122,APOA1,0.22968599076072374
3,ABCC8,303,CACNA1A,0.2311596708993117
3,ABCC8,304,CACNA1B,0.16201556970675787
3,ABCC8,305,CACNA1C,0.1809664952258269
3,ABCC8,306,CACNA1D,0.13553805959721407
3,ABCC8,307,CACNA1E,0.21758238421170972
3,ABCC8,308,CACNA1G,0.23611826387544474
4,ABCF2,360,CASP9,0.172078433757027
6,ABI1,287,BRK1,0.16535165129850307
6,ABI1,600,CYFIP1,0.070513942783388
6,ABI1,601,CYFIP2,0.2845342432459195
6,ABI1,1575,NCKAP1,0.15347294447322687
6,ABI1,2709,WASF1,0.1346680447459221
6,ABI1,2710,WASF2,0.11456753585177164
6,ABI1,2711,WASF3,0.19883943473299345
7,ABI2,287,BRK1,0.18355111901958784
7,ABI2,600,CYFIP1,0.11294411065561387
7,ABI2,601,CYFIP2,0.16394510368506113
7,ABI2,1575,NCKAP1,0.15581192076206207
7,ABI2,2709,WASF1,0.0987401061380903
8,ABL1,367,CBL,0.14488009363412857
8,ABL1,546,CRK,0.16687417589128017
8,ABL1,547,CRKL,0.11561512264112632
8,ABL1,767,ENAH,0.13425663866413137
8,ABL1,1015,GRB2,0.11845708141724269
8,ABL1,1535,MYC,0.24469805570940176
8,ABL1,2071,RAC1,0.32489782695968944
8,ABL1,2072,RAC3,0.17919877171516418
8,ABL1,2118,RB1,0.1787715945392847
8,ABL1,2175,ROBO1,0.24588150484487414
8,ABL1,2176,ROBO2,0.1707144770771265
8,ABL1,2298,SHC2,0.13570314812629172
8,ABL1,2299,SHC4,0.1168801150827979
8,ABL1,2439,STAT5A,0.18099777276317278
8,ABL1,2440,STAT5B,0.21290615169952312
9,ABL2,2071,RAC1,0.21099109404409924
9,ABL2,2072,RAC3,0.27172180265188217
19,ACP1,571,CTNNB1,0.13021521487583718
26,ACTB,27,ACTG1,0.2104437377420254
26,ACTB,28,ACTL6A,0.16325341165065765
26,ACTB,30,ACTN1,0.16552416887134314
26,ACTB,31,ACTN4,0.126713866678377
26,ACTB,32,ACTR2,0.1910764720911781
26,ACTB,33,ACTR3,0.155473911203444
26,ACTB,34,ACTR3B,0.16280361420164505
26,ACTB,35,ACTR3C,0.15217433140302697
26,ACTB,153,ARID1A,0.2849308215081692
26,ACTB,159,ARPC1A,0.15002548011640707
26,ACTB,160,ARPC1B,0.14345002671082815
26,ACTB,161,ARPC2,0.2386262317498525
26,ACTB,162,ARPC3,0.15712696438034376
26,ACTB,163,ARPC4,0.13349470992883047
26,ACTB,164,ARPC5,0.22676081955432892
26,ACTB,165,ARPC5L,0.12763356456222633
26,ACTB,443,CFL1,0.13565372116863728
26,ACTB,444,CFL2,0.21984036453068256
26,ACTB,569,CTNNA1,0.17077035705248514
26,ACTB,570,CTNNA2,0.12988519940214852
26,ACTB,660,DPF1,0.15727297961711884
26,ACTB,661,DPF3,0.2427193745970726
26,ACTB,1219,ITGB3,0.2684292523190379
26,ACTB,1547,MYL6,0.148951839437359
26,ACTB,1548,MYL6B,0.21931435788671175
26,ACTB,1549,MYL9,0.17236000578850508
26,ACTB,1838,PFN1,0.2774298560495178
26,ACTB,1839,PFN2,0.1682194316138824
26,ACTB,1840,PFN3,0.19463098359604677
26,ACTB,1841,PFN4,0.1195943895727396
26,ACTB,1936,PPARG,0.1328020328655839
26,ACTB,2359,SMARCA2,0.1088477309482793
26,ACTB,2360,SMARCA4,0.1168792595465978
26,ACTB,2361,SMARCB1,0.23141801108916601
26,ACTB,2362,SMARCC1,0.14747465898593268
26,ACTB,2363,SMARCC2,0.23098840191960335
26,ACTB,2364,SMARCD1,0.18433671382566294
26,ACTB,2365,SMARCD2,0.19415989456077418
26,ACTB,2366,SMARCD3,0.296767217417558
26,ACTB,2367,SMARCE1,0.23031666222959757
26,ACTB,2447,STK3,0.21859931635359922
26,ACTB,2476,SYNPO,0.21645655545095602
26,ACTB,2551,TJP1,0.1357385559628407
26,ACTB,2694,VCL,0.19120382641752562
27,ACTG1,28,ACTL6A,0.1877446739623944
27,ACTG1,30,ACTN1,0.07592014409601688
27,ACTG1,31,ACTN4,0.22145501939424625
27,ACTG1,32,ACTR2,0.10613702641179164
27,ACTG1,33,ACTR3,0.17257532104849815
27,ACTG1,34,ACTR3B,0.13981269113719463
27,ACTG1,35,ACTR3C,0.2391527940829595
27,ACTG1,153,ARID1A,0.08086571159462135
27,ACTG1,159,ARPC1A,0.19478785308698812
27,ACTG1,160,ARPC1B,0.18011182779446244
27,ACTG1,161,ARPC2,0.26090602576732635
27,ACTG1,162,ARPC3,0.2771609940876563
27,ACTG1,163,ARPC4,0.2546165082603693
27,ACTG1,164,ARPC5,0.08971020439639688
27,ACTG1,165,ARPC5L,0.15876403714840612
27,ACTG1,443,CFL1,0.24796477208534876
27,ACTG1,444,CFL2,0.10354126741488774
27,ACTG1,569,CTNNA1,0.2358080248037974
27,ACTG1,570,CTNNA2,0.1816339623183012
27,ACTG1,660,DPF1,0.2119832063714663
27,ACTG1,661,DPF3,0.10652432874000321
27,ACTG1,1219,ITGB3,0.2281835887891551
27,ACTG1,1547,MYL6,0.10124541888944805
27,ACTG1,1548,MYL6B,0.26959302710990113
27,ACTG1,1549,MYL9,0.23064507326732078
27,ACTG1,1838,PFN1,0.18763481685891747
27,ACTG1,1839,PFN2,0.28190891196330387
27,ACTG1,1840,PFN3,0.10634790547192097
27,ACTG1,1841,PFN4,0.17573402573664984
27,ACTG1,1936,PPARG,0.1439991487811009
27,ACTG1,2359,SMARCA2,0.1820775500188271
27,ACTG1,2360,SMARCA4,0.2373118276397387
27,ACTG1,2361,SMARCB1,0.18971193581819534
27,ACTG1,2362,SMARCC1,0.24485456198453903
27,ACTG1,2363,SMARCC2,0.28869108979900676
27,ACTG1,2447,STK3,0.11609526894365747
27,ACTG1,2476,SYNPO,0.12279446609318256
27,ACTG1,2551,TJP1,0.2732647527009249
27,ACTG1,2694,VCL,0.07516797294374555
28,ACTL6A,1936,PPARG,0.1918793711811304
28,ACTL6A,2359,SMARCA2,0.18025546489904323
28,ACTL6A,2360,SMARCA4,0.11429354455322027
28,ACTL6A,2361,SMARCB1,0.22319808338458338
28,ACTL6A,2362,SMARCC1,0.13463132611165443
28,ACTL6A,2363,SMARCC2,0.08675737679004669
29,ACTL6B,26,ACTB,0.1928810846681396
29,ACTL6B,27,ACTG1,0.22130176114539304
29,ACTL6B,28,ACTL6A,0.2186936017436286
29,ACTL6B,153,ARID1A,0.18858977469305196
29,ACTL6B,154,ARID1B,0.26828239563231665
29,ACTL6B,660,DPF1,0.13003424741327763
29,ACTL6B,661,DPF3,0.09017527212078373
29,ACTL6B,1789,PBRM1,0.15299724787473679
29,ACTL6B,1848,PHF10,0.18174079060554504
29,ACTL6B,1936,PPARG,0.19817098478476206
29,ACTL6B,2359,SMARCA2,0.1410203631967306
29,ACTL6B,2360,SMARCA4,0.23030972108244896
29,ACTL6B,2361,SMARCB1,0.10686159498679142
29,ACTL6B,2362,SMARCC1,0.15477965027093887
29,ACTL6B,2363,SMARCC2,0.1584451454691589
29,ACTL6B,2364,SMARCD1,0.1254857424646616
29,ACTL6B,2365,SMARCD2,0.22488700225949287
29,ACTL6B,2366,SMARCD3,0.12141629246373971
29,ACTL6B,2367,SMARCE1,0.2219085916876793
30,ACTN1,1206,ITGA1,0.1901337356927494
30,ACTN1,1207,ITGA11,0.3017229177057743
30,ACTN1,1208,ITGA2,0.10924415197223425
