src,src_name,dest,dest_name,weight
1,ABCA1,122,APOA1,0.13180369107673565
3,ABCC8,303,CACNA1A,0.14883127311865488
3,ABCC8,304,CACNA1B,0.14420028682798147
3,ABCC8,305,CACNA1C,0.2109146632719785
3,ABCC8,306,CACNA1D,0.15388109566022953
3,ABCC8,307,CACNA1E,0.14653432307144007
3,ABCC8,308,CACNA1G,0.11884196009486914
4,ABCF2,360,CASP9,0.2504987384503086
6,ABI1,287,BRK1,0.19072690016279617
6,ABI1,600,CYFIP1,0.24531961232423782
6,ABI1,601,CYFIP2,0.1784131427605947
6,ABI1,1575,NCKAP1,0.2184475533043345
6,ABI1,2709,WASF1,0.2486900066335996
6,ABI1,2710,WASF2,0.08013083320111036
6,ABI1,2711,WASF3,0.18531062205632529
7,ABI2,287,BRK1,0.13386958977207541
7,ABI2,600,CYFIP1,0.20665957778692245
7,ABI2,601,CYFIP2,0.1866179034113884
7,ABI2,1575,NCKAP1,0.21155509849389395
7,ABI2,2709,WASF1,0.20938645116984844
8,ABL1,367,CBL,0.3119058658679326
8,ABL1,546,CRK,0.07495630905032158
8,ABL1,547,CRKL,0.13434078342591724
8,ABL1,767,ENAH,0.14749822889765105
8,ABL1,1015,GRB2,0.09703643852844834
8,ABL1,1535,MYC,0.08708745931896071
8,ABL1,2071,RAC1,0.19133227566878
8,ABL1,2072,RAC3,0.2809687095383803
8,ABL1,2118,RB1,0.12171074127157529
8,ABL1,2175,ROBO1,0.3016866358617942
8,ABL1,2176,ROBO2,0.1989005208015442
8,ABL1,2298,SHC2,0.1788907516747713
8,ABL1,2299,SHC4,0.1686476442652444
8,ABL1,2439,STAT5A,0.24893973271052042
8,ABL1,2440,STAT5B,0.34752248227596283
9,ABL2,2071,RAC1,0.21961177016297975
9,ABL2,2072,RAC3,0.2554510161280632
19,ACP1,571,CTNNB1,0.057014529748509325
26,ACTB,27,ACTG1,0.15209759896000227
26,ACTB,28,ACTL6A,0.1817213629061977
26,ACTB,30,ACTN1,0.09700364464273055
26,ACTB,31,ACTN4,0.19077515850464502
26,ACTB,32,ACTR2,0.10528617961487423
26,ACTB,33,ACTR3,0.09215473135312398
26,ACTB,34,ACTR3B,0.12099025685650606
26,ACTB,35,ACTR3C,0.1821726200481256
26,ACTB,153,ARID1A,0.07814338430762291
26,ACTB,159,ARPC1A,0.1569852332274119
26,ACTB,160,ARPC1B,0.2797538998226325
26,ACTB,161,ARPC2,0.15174755826592445
26,ACTB,162,ARPC3,0.15299240841219822
26,ACTB,163,ARPC4,0.1739060189574957
26,ACTB,164,ARPC5,0.2379333513478438
26,ACTB,165,ARPC5L,0.15644279091308513
26,ACTB,443,CFL1,0.08782774799813826
26,ACTB,444,CFL2,0.2132854200899601
26,ACTB,569,CTNNA1,0.1589982626028359
26,ACTB,570,CTNNA2,0.1227809451520443
26,ACTB,660,DPF1,0.17809628198544183
26,ACTB,661,DPF3,0.13860076324393353
26,ACTB,1219,ITGB3,0.15720543762048086
26,ACTB,1547,MYL6,0.17763323616236448
26,ACTB,1548,MYL6B,0.09479682054370642
26,ACTB,1549,MYL9,0.22677408903837204
26,ACTB,1838,PFN1,0.1978100842485825
26,ACTB,1839,PFN2,0.12189646406720082
26,ACTB,1840,PFN3,0.2751094152530034
26,ACTB,1841,PFN4,0.20046059601008892
26,ACTB,1936,PPARG,0.12101274849070857
26,ACTB,2359,SMARCA2,0.15716624756654105
26,ACTB,2360,SMARCA4,0.1308374642006432
26,ACTB,2361,SMARCB1,0.09605834633111954
26,ACTB,2362,SMARCC1,0.1114586346084252
26,ACTB,2363,SMARCC2,0.17060228871802488
26,ACTB,2364,SMARCD1,0.23975365236401558
26,ACTB,2365,SMARCD2,0.11984045011922717
26,ACTB,2366,SMARCD3,0.10525957118564595
26,ACTB,2367,SMARCE1,0.353352593878905
26,ACTB,2447,STK3,0.22574964755525193
26,ACTB,2476,SYNPO,0.09742184759428103
26,ACTB,2551,TJP1,0.3154943672319253
26,ACTB,2694,VCL,0.24485929186145464
27,ACTG1,28,ACTL6A,0.11058873861717682
27,ACTG1,30,ACTN1,0.19245747600992522
27,ACTG1,31,ACTN4,0.21597413221995035
27,ACTG1,32,ACTR2,0.15534749068319798
27,ACTG1,33,ACTR3,0.1842514347905914
27,ACTG1,34,ACTR3B,0.17567851270238558
27,ACTG1,35,ACTR3C,0.15998189275463423
27,ACTG1,153,ARID1A,0.16471455524879275
27,ACTG1,159,ARPC1A,0.21286166490366062
27,ACTG1,160,ARPC1B,0.08526839560363442
27,ACTG1,161,ARPC2,0.19140688392023245
27,ACTG1,162,ARPC3,0.1293021614352862
27,ACTG1,163,ARPC4,0.12694599836443862
27,ACTG1,164,ARPC5,0.1889930764834086
27,ACTG1,165,ARPC5L,0.1447159961098805
27,ACTG1,443,CFL1,0.10424606129527092
27,ACTG1,444,CFL2,0.11938770844911535
27,ACTG1,569,CTNNA1,0.2695496774589022
27,ACTG1,570,CTNNA2,0.19832939902941385
27,ACTG1,660,DPF1,0.20195444455991188
27,ACTG1,661,DPF3,0.13345990826686224
27,ACTG1,1219,ITGB3,0.13208411680534482
27,ACTG1,1547,MYL6,0.13900899541719505
27,ACTG1,1548,MYL6B,0.15228483476676047
27,ACTG1,1549,MYL9,0.09531548448527853
27,ACTG1,1838,PFN1,0.19634734963377318
27,ACTG1,1839,PFN2,0.1896948516368866
27,ACTG1,1840,PFN3,0.20203324034810066
27,ACTG1,1841,PFN4,0.31175422730545205
27,ACTG1,1936,PPARG,0.15779300220310688
27,ACTG1,2359,SMARCA2,0.17155578391005596
27,ACTG1,2360,SMARCA4,0.2711647053559621
27,ACTG1,2361,SMARCB1,0.13061727893849215
27,ACTG1,2362,SMARCC1,0.11896367867787679
27,ACTG1,2363,SMARCC2,0.25406099917987984
27,ACTG1,2447,STK3,0.09212882185480946
27,ACTG1,2476,SYNPO,0.1522967213143905
27,ACTG1,2551,TJP1,0.16418091238786778
27,ACTG1,2694,VCL,0.12045744030425946
28,ACTL6A,1936,PPARG,0.1574792998532454
28,ACTL6A,2359,SMARCA2,0.14435889851301908
28,ACTL6A,2360,SMARCA4,0.12697653596599898
28,ACTL6A,2361,SMARCB1,0.2333409689987699
28,ACTL6A,2362,SMARCC1,0.13931794464588165
28,ACTL6A,2363,SMARCC2,0.17733532500763735
29,ACTL6B,26,ACTB,0.18768286829193434
29,ACTL6B,27,ACTG1,0.14953909581527114
29,ACTL6B,28,ACTL6A,0.21949934786728895
29,ACTL6B,153,ARID1A,0.1379823398310691
29,ACTL6B,154,ARID1B,0.08367414710422356
29,ACTL6B,660,DPF1,0.07915175434512396
29,ACTL6B,661,DPF3,0.1596969043215116
29,ACTL6B,1789,PBRM1,0.2509179183592399
29,ACTL6B,1848,PHF10,0.13868183107115328
29,ACTL6B,1936,PPARG,0.15958150244356753
29,ACTL6B,2359,SMARCA2,0.13994034857023507
29,ACTL6B,2360,SMARCA4,0.12540178435544172
29,ACTL6B,2361,SMARCB1,0.19109808777769408
29,ACTL6B,2362,SMARCC1,0.1569345872849226
29,ACTL6B,2363,SMARCC2,0.12843385509525737
29,ACTL6B,2364,SMARCD1,0.17252215898285309
29,ACTL6B,2365,SMARCD2,0.1388141761223475
29,ACTL6B,2366,SMARCD3,0.08623206553359826
29,ACTL6B,2367,SMARCE1,0.1726380360002319
30,ACTN1,1206,ITGA1,0.18991040252149105
30,ACTN1,1207,ITGA11,0.18193203676491976
30,ACTN1,1208,ITGA2,0.16238739054339626
30,ACTN1,1209,ITGA3,0.14040477635959783
30,ACTN1,1210,ITGA4,0.08249457087367773
30,ACTN1,1211,ITGA5,0.07873531679312389
30,ACTN1,1212,ITGA6,0.1261411578549693
30,ACTN1,1213,ITGA7,0.16597249917685986
30,ACTN1,1214,ITGA9,0.14879596730073294
30,ACTN1,1215,ITGAV,0.10406792877862851
30,ACTN1,1217,ITGB1,0.17067808595796427
30,ACTN1,1219,ITGB3,0.18558622524142265
30,ACTN1,1220,ITGB4,0.21884898593028387
30,ACTN1,1221,ITGB5,0.21716302384932837
30,ACTN1,1222,ITGB8,0.2245834656059742
30,ACTN1,1340,LMO7,0.13613020877043405
30,ACTN1,1459,MICALL2,0.09972008224576712
30,ACTN1,2432,SSX2IP,0.23138821373383203
31,ACTN4,1206,ITGA1,0.1049257474951446
31,ACTN4,1207,ITGA11,0.13704648000809053
31,ACTN4,1208,ITGA2,0.2442040091070036
31,ACTN4,1209,ITGA3,0.136357169598341
31,ACTN4,1210,ITGA4,0.221466775983572
31,ACTN4,1211,ITGA5,0.10941098009546597
31,ACTN4,1212,ITGA6,0.1597971481581529
31,ACTN4,1213,ITGA7,0.19182709169884524
31,ACTN4,1214,ITGA9,0.24536747915650872
31,ACTN4,1215,ITGAV,0.1543644405901432
31,ACTN4,1217,ITGB1,0.17027616997559866
31,ACTN4,1219,ITGB3,0.11309662057707708
31,ACTN4,1220,ITGB4,0.18525702133774757
31,ACTN4,1221,ITGB5,0.10254608645724754
31,ACTN4,1222,ITGB8,0.08512630142892401
31,ACTN4,1340,LMO7,0.1826950212319692
31,ACTN4,1459,MICALL2,0.20302236204346022
31,ACTN4,2432,SSX2IP,0.15618589147925377
32,ACTR2,26,ACTB,0.11623825505375862
32,ACTR2,27,ACTG1,0.13276746116268137
32,ACTR2,34,ACTR3B,0.17233910659948984
32,ACTR2,35,ACTR3C,0.3267381762464841
32,ACTR2,2723,WHAMM,0.2968235877342522
33,ACTR3,26,ACTB,0.20029971934854984
33,ACTR3,27,ACTG1,0.11861801178505023
33,ACTR3,32,ACTR2,0.0946150488841037
33,ACTR3,34,ACTR3B,0.19902269744003812
33,ACTR3,35,ACTR3C,0.11958657969565441
33,ACTR3,2723,WHAMM,0.2184677131784459
34,ACTR3B,26,ACTB,0.17806643806397915
34,ACTR3B,27,ACTG1,0.21526585705578327
34,ACTR3B,35,ACTR3C,0.10631306807044894
35,ACTR3C,26,ACTB,0.10815512544165055
35,ACTR3C,27,ACTG1,0.17635446041822433
36,ACVR1,39,ACVR2A,0.0908368236074845
36,ACVR1,40,ACVR2B,0.24723059870302677
36,ACVR1,277,BMPR2,0.114137495867908
36,ACVR1,598,CYBA,0.2378699816763401
36,ACVR1,1402,MAPK1,0.2014971524477005
36,ACVR1,1403,MAPK11,0.19393223027388254
36,ACVR1,1404,MAPK12,0.21252656892950958
36,ACVR1,1405,MAPK13,0.24794657031695047
36,ACVR1,1406,MAPK14,0.33537840843200684
36,ACVR1,1407,MAPK3,0.28366171413411695
36,ACVR1,1619,NEO1,0.1444294967999061
36,ACVR1,2071,RAC1,0.1456207918624083
36,ACVR1,2072,RAC3,0.2332353542248408
36,ACVR1,2351,SMAD1,0.06926143012242392
36,ACVR1,2352,SMAD2,0.18210286453055838
36,ACVR1,2353,SMAD3,0.12779573684868714
36,ACVR1,2355,SMAD5,0.15453059738501906
36,ACVR1,2358,SMAD9,0.12366096542488474
37,ACVR1B,39,ACVR2A,0.15145757049322128
37,ACVR1B,40,ACVR2B,0.13911883812397718
37,ACVR1B,2352,SMAD2,0.12425736213723819
37,ACVR1B,2353,SMAD3,0.09713692187021176
38,ACVR1C,39,ACVR2A,0.1861980746810635
38,ACVR1C,40,ACVR2B,0.11590172785023849
38,ACVR1C,2352,SMAD2,0.08870569926997025
38,ACVR1C,2353,SMAD3,0.19335905089974403
39,ACVR2A,41,ACVRL1,0.182640191167593
39,ACVR2A,598,CYBA,0.20145655423402786
39,ACVR2A,2071,RAC1,0.25814759482940036
39,ACVR2A,2072,RAC3,0.21925898268818855
39,ACVR2A,2352,SMAD2,0.1271898727864027
39,ACVR2A,2353,SMAD3,0.19063231985395154
40,ACVR2B,598,CYBA,0.15152137035814425
40,ACVR2B,2071,RAC1,0.1906869529436032
40,ACVR2B,2072,RAC3,0.12036857367881264
40,ACVR2B,2352,SMAD2,0.17120860734333596
40,ACVR2B,2353,SMAD3,0.14031083354105553
42,ADAM10,1056,HBEGF,0.10975063834727432
43,ADAM17,1056,HBEGF,0.11627922765910625
43,ADAM17,1661,NOTCH1,0.1602503713220358
43,ADAM17,1662,NOTCH3,0.18460212896267572
44,ADCY1,1986,PRKACA,0.09040935306499402
44,ADCY1,1987,PRKACB,0.23631844390183687
44,ADCY1,1988,PRKACG,0.15433405339717865
44,ADCY1,2096,RAPGEF3,0.19499165502687296
44,ADCY1,2097,RAPGEF4,0.13766885253911218
45,ADCY2,1986,PRKACA,0.0879380451515317
45,ADCY2,1987,PRKACB,0.18897202362616858
45,ADCY2,1988,PRKACG,0.2553064798315366
45,ADCY2,2096,RAPGEF3,0.14583866919080415
45,ADCY2,2097,RAPGEF4,0.06543902160289387
46,ADCY3,1986,PRKACA,0.1175867049023509
46,ADCY3,1987,PRKACB,0.1834768682407836
46,ADCY3,1988,PRKACG,0.15614461984174946
46,ADCY3,2096,RAPGEF3,0.18425419072931012
46,ADCY3,2097,RAPGEF4,0.19222773859898248
47,ADCY4,1986,PRKACA,0.2806605896912515
47,ADCY4,1987,PRKACB,0.19013580866158009
47,ADCY4,1988,PRKACG,0.17416550669198236
47,ADCY4,2096,RAPGEF3,0.11942300572991371
47,ADCY4,2097,RAPGEF4,0.2797144013457
48,ADCY5,1986,PRKACA,0.2208790456255277
48,ADCY5,1987,PRKACB,0.26423207066060667
48,ADCY5,1988,PRKACG,0.200885862732927
48,ADCY5,2096,RAPGEF3,0.22254126581052938
48,ADCY5,2097,RAPGEF4,0.12168868569036324
49,ADCY6,1986,PRKACA,0.17840120320518812
49,ADCY6,1987,PRKACB,0.1836598621060451
49,ADCY6,1988,PRKACG,0.2575925613443057
49,ADCY6,2096,RAPGEF3,0.11923211168808241
49,ADCY6,2097,RAPGEF4,0.183015746374925
50,ADCY7,1986,PRKACA,0.20814549643546343
50,ADCY7,1987,PRKACB,0.19525277179976305
50,ADCY7,1988,PRKACG,0.137704772176221
50,ADCY7,2096,RAPGEF3,0.22615182679146528
50,ADCY7,2097,RAPGEF4,0.19410242388645807
51,ADCY8,1986,PRKACA,0.1206111900974065
51,ADCY8,1987,PRKACB,0.21154694631695747
51,ADCY8,1988,PRKACG,0.23608740729590258
51,ADCY8,2096,RAPGEF3,0.2720629920562108
51,ADCY8,2097,RAPGEF4,0.27899282053112984
52,ADCY9,1986,PRKACA,0.10735178800920646
52,ADCY9,1987,PRKACB,0.1599072888493538
52,ADCY9,1988,PRKACG,0.08891551817456882
52,ADCY9,2096,RAPGEF3,0.13251071493141353
52,ADCY9,2097,RAPGEF4,0.255233117689689
53,ADCYAP1,54,ADCYAP1R1,0.2660550723473231
53,ADCYAP1,58,ADORA2A,0.1628995928913355
53,ADCYAP1,66,ADRB1,0.050063002233703933
53,ADCYAP1,667,DRD1,0.1784699602673451
53,ADCYAP1,670,DRD5,0.09373959712684155
53,ADCYAP1,975,GLP1R,0.22645266726613045
53,ADCYAP1,1129,HTR6,0.2204248458147049
53,ADCYAP1,1322,LHCGR,0.2331387201944987
53,ADCYAP1,1426,MC2R,0.037344800463567175
53,ADCYAP1,1674,NPR1,0.1504220049828291
53,ADCYAP1,2025,PTGER2,0.15509716297189394
53,ADCYAP1,2616,TSHR,0.17432321010467908
53,ADCYAP1,2704,VIPR2,0.20053293276578188
54,ADCYAP1R1,978,GNA11,0.19797630196747681
54,ADCYAP1R1,988,GNAQ,0.23485747228066126
54,ADCYAP1R1,989,GNAS,0.15033996384590864
54,ADCYAP1R1,992,GNB1,0.16490800492465496
54,ADCYAP1R1,993,GNB2,0.11006711403994511
54,ADCYAP1R1,994,GNB3,0.16855399838338295
54,ADCYAP1R1,995,GNB4,0.15541737899184227
54,ADCYAP1R1,996,GNB5,0.11355674018462499
54,ADCYAP1R1,997,GNG10,0.1423794130484263
54,ADCYAP1R1,998,GNG11,0.12127918656915426
54,ADCYAP1R1,999,GNG13,0.20195839926600456
54,ADCYAP1R1,1000,GNG4,0.15752247907221317
54,ADCYAP1R1,1001,GNG5,0.130539090372622
54,ADCYAP1R1,1002,GNG7,0.22080924982825914
54,ADCYAP1R1,1003,GNG8,0.2190039170285066
54,ADCYAP1R1,1004,GNGT2,0.11369384433298062
55,ADIPOR1,130,APPL1,0.2742920493086179
55,ADIPOR1,345,CAMKK2,0.2141659346719583
55,ADIPOR1,1934,PPARA,0.22752337033549944
55,ADIPOR1,1982,PRKAA1,0.20086132362484932
55,ADIPOR1,1983,PRKAA2,0.10362586037566264
55,ADIPOR1,1984,PRKAB1,0.21285252956052622
55,ADIPOR1,1985,PRKAB2,0.13448594836518168
55,ADIPOR1,1989,PRKAG1,0.11157308115313451
55,ADIPOR1,1990,PRKAG2,0.21754939078042904
55,ADIPOR1,1991,PRKAG3,0.09509401675313711
55,ADIPOR1,2446,STK11,0.2123546718309323
56,ADIPOR2,130,APPL1,0.19987518278261027
56,ADIPOR2,345,CAMKK2,0.11828520645697911
56,ADIPOR2,1934,PPARA,0.1557608861476183
56,ADIPOR2,1982,PRKAA1,0.22848648143311343
56,ADIPOR2,1983,PRKAA2,0.24728873589386544
56,ADIPOR2,1984,PRKAB1,0.17517730322045585
56,ADIPOR2,1985,PRKAB2,0.21687120812324187
56,ADIPOR2,1989,PRKAG1,0.16519400166968504
56,ADIPOR2,1990,PRKAG2,0.12808463088003919
56,ADIPOR2,1991,PRKAG3,0.20562409795820713
56,ADIPOR2,2446,STK11,0.14024268564147255
57,ADM,329,CALCR,0.13192365574650466
57,ADM,2085,RAMP1,0.1175568699836731
57,ADM,2086,RAMP2,0.21688303661843142
57,ADM,2087,RAMP3,0.14452922313163677
58,ADORA2A,986,GNAL,0.26759736022601527
58,ADORA2A,988,GNAQ,0.10450738870228331
58,ADORA2A,989,GNAS,0.1469192837830633
59,ADORA2B,986,GNAL,0.22110423849274716
59,ADORA2B,988,GNAQ,0.14199605708320936
59,ADORA2B,989,GNAS,0.18531357683241367
60,ADRA1A,978,GNA11,0.14955021689335504
60,ADRA1A,979,GNA12,0.12620885794361433
60,ADRA1A,980,GNA13,0.13369004676739374
60,ADRA1A,981,GNA14,0.12545436178334057
60,ADRA1A,982,GNA15,0.21047283771137396
60,ADRA1A,988,GNAQ,0.0718883740870903
60,ADRA1A,1982,PRKAA1,0.14043738692998886
60,ADRA1A,1983,PRKAA2,0.3007883795847495
60,ADRA1A,1984,PRKAB1,0.22970075656970343
60,ADRA1A,1985,PRKAB2,0.21457147660354772
60,ADRA1A,1989,PRKAG1,0.1870256680995226
60,ADRA1A,1990,PRKAG2,0.20954152196645737
60,ADRA1A,1991,PRKAG3,0.1853893337150415
61,ADRA1B,978,GNA11,0.13399216874192157
61,ADRA1B,979,GNA12,0.14417350944131613
61,ADRA1B,980,GNA13,0.10510109659905235
61,ADRA1B,981,GNA14,0.17988397988180319
61,ADRA1B,982,GNA15,0.19177270897974572
61,ADRA1B,988,GNAQ,0.1076196205491821
62,ADRA1D,978,GNA11,0.1420160699635744
62,ADRA1D,979,GNA12,0.16504111575583616
62,ADRA1D,980,GNA13,0.0656565794100364
62,ADRA1D,981,GNA14,0.21423252035553256
62,ADRA1D,982,GNA15,0.21729090126852194
62,ADRA1D,988,GNAQ,0.19536664833625159
63,ADRA2A,978,GNA11,0.2104108246664206
63,ADRA2A,979,GNA12,0.1399452012653152
63,ADRA2A,980,GNA13,0.1375557859428227
63,ADRA2A,988,GNAQ,0.16893703071400523
64,ADRA2B,978,GNA11,0.17214767479648194
64,ADRA2B,979,GNA12,0.21732631201545397
64,ADRA2B,980,GNA13,0.1789028955002626
64,ADRA2B,988,GNAQ,0.09982281783595681
65,ADRA2C,978,GNA11,0.20006236507712552
65,ADRA2C,979,GNA12,0.18472152443913123
65,ADRA2C,980,GNA13,0.11242502058545749
65,ADRA2C,988,GNAQ,0.2516454529638092
66,ADRB1,983,GNAI1,0.1753034315382441
66,ADRB1,984,GNAI2,0.09827067144215107
66,ADRB1,985,GNAI3,0.1367880661661426
66,ADRB1,986,GNAL,0.17014139471575618
66,ADRB1,989,GNAS,0.23137113451957703
67,ADRB2,983,GNAI1,0.19969456425557533
67,ADRB2,984,GNAI2,0.18134362933536372
67,ADRB2,985,GNAI3,0.23879540463288626
67,ADRB2,986,GNAL,0.1945417383685708
67,ADRB2,989,GNAS,0.21703244280070066
