src,src_name,dest,dest_name,weight,edge_type
1,ABCA1,122,APOA1,3.950946259768313e-05,gene-gene
3,ABCC8,303,CACNA1A,2.2413855581027898e-36,gene-gene
3,ABCC8,304,CACNA1B,5.326984740927993e-33,gene-gene
3,ABCC8,305,CACNA1C,4.795340694160802e-35,gene-gene
3,ABCC8,306,CACNA1D,1.778911274157294e-30,gene-gene
3,ABCC8,307,CACNA1E,1.816484818706392e-27,gene-gene
3,ABCC8,308,CACNA1G,6.363949047067816e-22,gene-gene
4,ABCF2,360,CASP9,0.0003347712246371278,gene-gene
6,ABI1,287,BRK1,4.369781851180458e-12,gene-gene
6,ABI1,600,CYFIP1,3.93511482247881e-25,gene-gene
6,ABI1,601,CYFIP2,0.00764451523621877,gene-gene
6,ABI1,1575,NCKAP1,5.803843739493675e-25,gene-gene
6,ABI1,2709,WASF1,7.10278623166794e-20,gene-gene
6,ABI1,2710,WASF2,4.371029596465331e-06,gene-gene
6,ABI1,2711,WASF3,1.0264873639921124e-21,gene-gene
7,ABI2,287,BRK1,2.9524130434684446e-25,gene-gene
7,ABI2,600,CYFIP1,0.00853365957736969,gene-gene
7,ABI2,601,CYFIP2,1.0992234503871425e-39,gene-gene
7,ABI2,1575,NCKAP1,9.408302266343257e-32,gene-gene
7,ABI2,2709,WASF1,1.2928859320153154e-31,gene-gene
8,ABL1,367,CBL,0.0008081698671351963,gene-gene
8,ABL1,546,CRK,0.0008165276159645037,gene-gene
8,ABL1,547,CRKL,0.0008649473494794316,gene-gene
8,ABL1,767,ENAH,0.0011111485271841322,gene-gene
8,ABL1,1015,GRB2,0.0010109528757917966,gene-gene
8,ABL1,1535,MYC,0.001113672068145397,gene-gene
8,ABL1,2071,RAC1,0.0008081667370182307,gene-gene
8,ABL1,2072,RAC3,0.0010040195225731925,gene-gene
8,ABL1,2118,RB1,0.0032318157627742043,gene-gene
8,ABL1,2175,ROBO1,0.0009303777318990569,gene-gene
8,ABL1,2176,ROBO2,0.0009314202029599983,gene-gene
