src,src_name,dest,dest_name,weight,edge_type
1,ABCA1,122,APOA1,0.00010837827964375525,gene-gene
3,ABCC8,303,CACNA1A,7.438435566759889e-40,gene-gene
3,ABCC8,304,CACNA1B,7.383588744866215e-40,gene-gene
3,ABCC8,305,CACNA1C,7.234453220303006e-40,gene-gene
3,ABCC8,306,CACNA1D,7.317314333995973e-40,gene-gene
3,ABCC8,307,CACNA1E,6.879413652709841e-36,gene-gene
3,ABCC8,308,CACNA1G,7.39158782360007e-40,gene-gene
4,ABCF2,360,CASP9,7.427764678954055e-40,gene-gene
6,ABI1,287,BRK1,1.2137005880130983e-29,gene-gene
6,ABI1,600,CYFIP1,7.369160041678551e-40,gene-gene
6,ABI1,601,CYFIP2,0.03822257618109385,gene-gene
6,ABI1,1575,NCKAP1,7.43896105368401e-40,gene-gene
6,ABI1,2709,WASF1,7.333938404777746e-40,gene-gene
6,ABI1,2710,WASF2,2.1855147982326652e-05,gene-gene
6,ABI1,2711,WASF3,1.0230702770424497e-31,gene-gene
7,ABI2,287,BRK1,1.8225323034632487e-36,gene-gene
7,ABI2,600,CYFIP1,7.433155007046824e-40,gene-gene
7,ABI2,601,CYFIP2,1.8744767851713304e-39,gene-gene
7,ABI2,1575,NCKAP1,4.704111166908575e-31,gene-gene
7,ABI2,2709,WASF1,7.393916314548289e-40,gene-gene
8,ABL1,367,CBL,0.0006123498897068202,gene-gene
8,ABL1,546,CRK,0.00019002640813899538,gene-gene
8,ABL1,547,CRKL,0.000375504951231657,gene-gene
8,ABL1,767,ENAH,0.0006203675341870015,gene-gene
8,ABL1,1015,GRB2,0.0011012499453499913,gene-gene
8,ABL1,1535,MYC,0.00032491078309249133,gene-gene
8,ABL1,2071,RAC1,0.0003089771877663831,gene-gene
8,ABL1,2072,RAC3,0.0006441461543242136,gene-gene
8,ABL1,2118,RB1,0.011027296956550954,gene-gene
8,ABL1,2175,ROBO1,0.0007403081399388611,gene-gene
8,ABL1,2176,ROBO2,0.0010850197431864217,gene-gene
8,ABL1,2298,SHC2,0.017832791204758298,gene-gene
8,ABL1,2299,SHC4,0.0007653805466058353,gene-gene
8,ABL1,2439,STAT5A,0.0002287664198471854,gene-gene
8,ABL1,2440,STAT5B,0.03665660608021426,gene-gene
9,ABL2,2071,RAC1,0.0007128594249176482,gene-gene
9,ABL2,2072,RAC3,0.0008396642309283683,gene-gene
19,ACP1,571,CTNNB1,1.7614540411159396e-05,gene-gene
26,ACTB,27,ACTG1,7.436508781371442e-40,gene-gene
26,ACTB,28,ACTL6A,7.295416709993457e-40,gene-gene
26,ACTB,30,ACTN1,1.3376189398822033e-36,gene-gene
26,ACTB,31,ACTN4,4.314395658445301e-34,gene-gene
26,ACTB,32,ACTR2,7.3031215160498034e-40,gene-gene
26,ACTB,33,ACTR3,7.290981600353869e-40,gene-gene
26,ACTB,34,ACTR3B,7.298527592584258e-40,gene-gene
26,ACTB,35,ACTR3C,8.475051678965192e-12,gene-gene
26,ACTB,153,ARID1A,2.588769384045027e-10,gene-gene
26,ACTB,159,ARPC1A,6.684544190624608e-34,gene-gene
26,ACTB,160,ARPC1B,7.310307841674349e-40,gene-gene
26,ACTB,161,ARPC2,7.470565005049417e-40,gene-gene
26,ACTB,162,ARPC3,2.6471518395058823e-30,gene-gene
26,ACTB,163,ARPC4,7.18930104828502e-40,gene-gene
26,ACTB,164,ARPC5,7.323746293947224e-40,gene-gene
26,ACTB,165,ARPC5L,7.382166426924926e-40,gene-gene
26,ACTB,443,CFL1,1.7637353053092485e-34,gene-gene
26,ACTB,444,CFL2,7.357692749245493e-40,gene-gene
26,ACTB,569,CTNNA1,4.349802263585497e-17,gene-gene
26,ACTB,570,CTNNA2,9.924054111784367e-40,gene-gene
26,ACTB,660,DPF1,7.398437837593177e-40,gene-gene
26,ACTB,661,DPF3,7.3099061361145756e-40,gene-gene
26,ACTB,1219,ITGB3,8.408759792170409e-07,gene-gene
26,ACTB,1547,MYL6,7.25056348164786e-40,gene-gene
26,ACTB,1548,MYL6B,7.410449300929882e-40,gene-gene
26,ACTB,1549,MYL9,7.416792511978392e-40,gene-gene
26,ACTB,1838,PFN1,7.295717989163287e-40,gene-gene
26,ACTB,1839,PFN2,7.299176860872729e-40,gene-gene
26,ACTB,1840,PFN3,1.0269257833479396e-30,gene-gene
26,ACTB,1841,PFN4,2.889106133173148e-19,gene-gene
26,ACTB,1936,PPARG,7.881295459810644e-05,gene-gene
26,ACTB,2359,SMARCA2,7.37441491091977e-40,gene-gene
26,ACTB,2360,SMARCA4,0.00048001032943526906,gene-gene
26,ACTB,2361,SMARCB1,7.365353180850468e-40,gene-gene
26,ACTB,2362,SMARCC1,1.8777992257431228e-07,gene-gene
26,ACTB,2363,SMARCC2,7.40410608988137e-40,gene-gene
26,ACTB,2364,SMARCD1,7.461496268487793e-40,gene-gene
26,ACTB,2365,SMARCD2,6.125642716745936e-24,gene-gene
26,ACTB,2366,SMARCD3,7.174470639537582e-40,gene-gene
26,ACTB,2367,SMARCE1,1.1026752697633357e-20,gene-gene
26,ACTB,2447,STK3,4.6019905440117414e-30,gene-gene
26,ACTB,2476,SYNPO,7.49357666133107e-40,gene-gene
