src,src_name,dest,dest_name,weight,edge_type
1,ABCA1,122,APOA1,6.219558296531128e-07,gene-gene
3,ABCC8,303,CACNA1A,8.378038884053847e-40,gene-gene
3,ABCC8,304,CACNA1B,8.381063353239347e-40,gene-gene
3,ABCC8,305,CACNA1C,2.3976420723783015e-34,gene-gene
3,ABCC8,306,CACNA1D,8.370142567207376e-40,gene-gene
3,ABCC8,307,CACNA1E,9.082423691258464e-27,gene-gene
3,ABCC8,308,CACNA1G,3.1819745235323096e-21,gene-gene
4,ABCF2,360,CASP9,1.7180637466177966e-05,gene-gene
6,ABI1,287,BRK1,2.1760121590703937e-39,gene-gene
6,ABI1,600,CYFIP1,8.419785900803523e-40,gene-gene
6,ABI1,601,CYFIP2,8.508086388035511e-40,gene-gene
6,ABI1,1575,NCKAP1,8.381175457116493e-40,gene-gene
6,ABI1,2709,WASF1,8.448673668645579e-40,gene-gene
6,ABI1,2710,WASF2,8.243320385191099e-40,gene-gene
6,ABI1,2711,WASF3,8.283918337200029e-40,gene-gene
7,ABI2,287,BRK1,8.536285184132607e-40,gene-gene
7,ABI2,600,CYFIP1,3.822394343005327e-37,gene-gene
7,ABI2,601,CYFIP2,8.363881098569284e-40,gene-gene
7,ABI2,1575,NCKAP1,8.498646307380842e-40,gene-gene
7,ABI2,2709,WASF1,8.366772444400675e-40,gene-gene
8,ABL1,367,CBL,0.0002641992056548285,gene-gene
8,ABL1,546,CRK,0.0011703897029588979,gene-gene
8,ABL1,547,CRKL,0.00018919360324313553,gene-gene
8,ABL1,767,ENAH,0.002435699979438747,gene-gene
8,ABL1,1015,GRB2,0.001967392313720969,gene-gene
8,ABL1,1535,MYC,0.0010096995392814279,gene-gene
8,ABL1,2071,RAC1,0.00040952856306830654,gene-gene
8,ABL1,2072,RAC3,0.0013655253272493912,gene-gene
8,ABL1,2118,RB1,0.0005772126035784216,gene-gene
8,ABL1,2175,ROBO1,0.0011976892322612305,gene-gene
8,ABL1,2176,ROBO2,0.0009813234106938278,gene-gene
8,ABL1,2298,SHC2,0.0006014917059170936,gene-gene
8,ABL1,2299,SHC4,0.006742290282697165,gene-gene
8,ABL1,2439,STAT5A,0.001024334322816382,gene-gene
8,ABL1,2440,STAT5B,0.0017091177445157275,gene-gene
9,ABL2,2071,RAC1,0.0008901154382291073,gene-gene
9,ABL2,2072,RAC3,0.0015222060850040482,gene-gene
19,ACP1,571,CTNNB1,5.995924160136686e-07,gene-gene
26,ACTB,27,ACTG1,8.51101510182595e-40,gene-gene
26,ACTB,28,ACTL6A,8.383436218638937e-40,gene-gene
26,ACTB,30,ACTN1,2.1553357666795368e-39,gene-gene
26,ACTB,31,ACTN4,8.432897383434722e-40,gene-gene
26,ACTB,32,ACTR2,8.52771624402326e-40,gene-gene
26,ACTB,33,ACTR3,8.364341191565071e-40,gene-gene
26,ACTB,34,ACTR3B,8.449514447724174e-40,gene-gene
26,ACTB,35,ACTR3C,8.450177728997288e-40,gene-gene
26,ACTB,153,ARID1A,8.414281133336166e-40,gene-gene
26,ACTB,159,ARPC1A,2.4769884010373365e-25,gene-gene
26,ACTB,160,ARPC1B,8.391435297372792e-40,gene-gene
26,ACTB,161,ARPC2,1.9069570178865676e-25,gene-gene
26,ACTB,162,ARPC3,8.333592032262903e-40,gene-gene
26,ACTB,163,ARPC4,1.300428093982594e-37,gene-gene
26,ACTB,164,ARPC5,7.41150696370596e-10,gene-gene
26,ACTB,165,ARPC5L,2.3486289399314694e-27,gene-gene
26,ACTB,443,CFL1,1.69493578727056e-36,gene-gene
