locus_id,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ABCA1,0.32442,0.26607,0.40815,0.11978,0.16065,0.00704,0.23334000000000002,0.59251,0.45968000000000003,0.06872,0.292,0.8961,0.0,0.64103,0.31883,0.043210000000000005,0.83165,0.33383,0.31298000000000004,0.07641,0.34907,0.0,0.19776,0.05294,0.04281,0.36232,0.25322,0.13210999999999998,0.31711999999999996,0.42854,0.365,0.7351800000000001,0.3103,0.22446999999999998,0.32876,0.54338,0.5870000000000001,0.34026,0.10867,0.48257,0.8620700000000001
ABCC1,0.14303,0.12628,0.13087000000000001,0.08261,0.09825,0.14498,0.125,0.10754000000000001,0.10452,0.0038399999999999997,0.10685,0.08728,0.00137,0.0,0.0705,0.03821,0.10555999999999999,0.13927,0.08292999999999999,0.059329999999999994,0.07966000000000001,0.0745,0.09111,0.12952,0.1247,0.11525,0.00856,0.19159,0.13876,0.13426,0.07733999999999999,0.07525,0.08342000000000001,0.12747999999999998,0.13193,0.05591,0.12239000000000001,0.06515,0.07418999999999999,0.08901,0.12897999999999998
ABCC8,0.3,0.73375,0.01984,0.08494,0.29167,0.33687,0.2782,0.7874899999999999,0.59322,0.62149,0.08955,0.27381,0.0,0.0,0.49736,0.11818,0.37754,0.76846,0.51659,0.09744,0.38461,0.0,0.17499,0.24,0.88889,0.22974,0.0,0.00662,0.007940000000000001,0.06926,0.05856,0.46429,0.07137,0.0974,0.10842,0.78494,0.24999000000000002,0.0,0.2044,0.0,0.41252
ABCF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI2,0.0,0.04375,0.01743,0.0,0.0,0.0,0.00386,0.0039700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595,0.012329999999999999,0.0,0.0,0.0,0.0,0.0,0.00292,0.00417,0.00882,0.0,0.03667,0.0,0.0028699999999999997,0.0,0.00282,0.00575,0.0,0.00257,0.0,0.0,0.00853,0.0,0.01042
ABL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL2,0.01171,0.027569999999999997,0.02468,0.01272,0.01102,0.0,0.00424,0.0,0.00414,0.0,0.01171,0.00601,0.00064,0.0,0.00561,0.0019100000000000002,0.0031,0.02164,0.00472,0.0,0.0,0.01299,0.00536,0.00268,0.0,0.0033399999999999997,0.031439999999999996,0.0,0.0,0.0,0.0221,0.01132,0.0,0.0033200000000000005,0.009340000000000001,0.09111,0.00842,0.00106,0.00634,0.02481,0.00309
ABLIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
