symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ABCA1,1,0,0,1,0,1,0,0,-1,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,1,0,0,1,1,-2,-1
ABCC1,1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,0,0,1,-1,0,-1,0,0,0,0,-1,1
ABCC8,1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-2,0,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,0,1,0,0,-1,0,1,-1,0,-1,-1
ABCF2,1,0,1,0,1,0,0,2,2,1,1,1,1,-1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,0,1
ABHD5,-1,-1,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1,1,0,1,0,0,1,0,1,-1,0,0,0,1,0,-1,-1
ABI1,1,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1
ABI2,1,0,1,-1,0,-1,0,0,0,1,0,-1,0,1,0,0,0,0,1,1,0,0,-1,0,0,1,0,1,0,1,-1,0,-1,0,1,-1,0,2,1
ABL1,0,-1,-1,1,-1,0,-1,0,-1,-1,0,1,0,1,-1,0,0,-1,1,-1,-1,-1,1,0,1,-1,0,1,-1,-1,0,0,1,0,-1,1,1,-1,-1
ABL2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,-1,-2,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1
ABLIM1,-1,0,1,-2,0,0,2,0,0,-1,0,-1,0,-1,-1,0,-1,-1,1,1,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
ABLIM2,-1,-1,-1,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1
ABLIM3,1,0,0,1,1,-1,-1,0,0,-1,0,0,0,1,1,0,0,1,1,1,1,2,1,2,0,1,1,1,1,1,-1,0,0,1,0,1,1,-1,-1
ACAA1,-1,0,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,0,1,1,0,1,0,0,1,0,1,-1,0,0,0,1,0,-1,-1
ACACA,1,1,1,-1,0,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,-1,0,0,1,1,0,0
ACADM,0,-1,0,1,-1,-1,0,0,1,1,0,0,0,0,-1,1,1,0,0,1,0,1,1,1,-1,1,0,1,1,1,-1,-1,1,0,0,-1,1,1,-1
ACIN1,-1,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,0
ACOX1,1,1,1,-1,1,0,1,0,1,-1,0,0,-1,1,-1,0,1,0,1,1,0,-1,1,1,0,1,1,-1,1,0,1,0,-1,0,1,1,1,-1,0
ACOX3,-1,-1,-1,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1
ACP1,1,1,1,-1,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,1,1,0,-1,-1,0,0,-1,0,1,0,1,1,-1,-1,0,0,-1,0,1,1
ACP5,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,1,0,0,1,-1,-1,0,-1,0,0,0,0,-1,-1,-1,0
ACSBG2,0,-1,-1,-1,1,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,1,1,1,0,0,1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,0
ACSL1,-1,-1,0,-1,0,-2,-2,0,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1
ACSL3,-1,0,1,-1,0,-1,0,0,0,1,0,-1,0,1,-1,-1,-1,0,1,1,0,-1,-1,0,-1,1,0,-1,0,1,0,0,-1,0,0,-1,0,1,1
ACSL6,1,0,0,1,1,-1,-1,0,0,-1,0,0,0,1,1,0,0,1,1,1,1,1,0,-1,0,-1,1,1,1,0,0,-1,0,1,0,0,1,-1,-1
ACTA2,-1,0,1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,1,0,0,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,0,1,1,0,-1,-1
ACTB,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,1,0,1,-1,1,1,1,1,2,0,1
ACTG1,0,1,1,-1,1,0,1,0,1,-1,0,0,-1,1,-1,0,-1,0,1,1,-1,1,-1,1,0,1,1,1,1,0,2,2,-1,0,1,1,1,-1,0
ACTL6A,0,-1,0,0,1,1,0,0,1,1,-1,0,0,0,0,0,-1,1,0,1,1,0,-1,0,2,-1,0,1,1,1,1,0,1,0,0,2,1,1,1
ACTL6B,1,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,-1,2,-1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,-1,-1,1
ACTN1,-1,0,0,-1,-1,1,0,0,0,-1,0,-1,0,0,1,0,-1,0,1,-1,1,0,1,1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,0,-1,0
ACTN4,1,1,-1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,1,-1,-1,-1,2,1,-1,-1,-1,0,1,1,-1,1,-1,0,0,0,-1,-1,-1,1,0
ACTR2,1,1,1,-1,0,0,0,0,0,1,0,0,0,1,-1,-1,0,1,1,1,0,-1,-1,0,0,1,0,-1,0,1,1,0,-1,0,0,-1,0,0,1
ACTR3,1,0,1,-1,0,-1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,-1,1,0,0,1,0,1,0,1,-1,0,-1,0,1,-1,0,1,1
ACTR3B,1,0,1,0,1,0,0,0,2,1,1,1,1,-1,1,1,-1,1,1,1,0,2,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1
ACTR3C,1,0,1,0,1,0,0,0,2,1,1,1,1,-1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1
ACVR1,1,0,1,-1,0,-1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,-1,0,1,0,-1,-1,0,-1,0,1,-1,0,0,1
ACVR1B,-1,0,1,-1,1,0,-1,0,0,-1,0,0,0,1,1,-1,-1,1,1,-1,0,0,-1,1,0,0,0,-1,-1,-1,0,0,-1,0,1,1,-1,-1,0
