Drug A,Drug B,Cell Line Name,Score
Azacitidine,Celecoxib,A498,7.555555555555554
Azacitidine,Celecoxib,A549/ATCC,-1.6666666666666667
Azacitidine,Celecoxib,BT-549,0.3333333333333333
Azacitidine,Celecoxib,DU-145,-5.0
Azacitidine,Celecoxib,HCT-116,-4.777777777777779
Azacitidine,Celecoxib,HS 578T,-6.1111111111111125
Azacitidine,Celecoxib,IGROV1,-2.4444444444444446
Azacitidine,Celecoxib,K-562,6.666666666666668
Azacitidine,Celecoxib,KM12,10.555555555555557
Azacitidine,Celecoxib,LOX IMVI,3.888888888888889
Azacitidine,Celecoxib,MALME-3M,-12.444444444444445
Azacitidine,Celecoxib,MDA-MB-231/ATCC,-0.2222222222222222
Azacitidine,Celecoxib,MDA-MB-468,-0.2222222222222222
Azacitidine,Celecoxib,NCI-H460,6.1111111111111125
Azacitidine,Celecoxib,NCI-H522,-5.111111111111111
Azacitidine,Celecoxib,OVCAR-3,16.555555555555557
Azacitidine,Celecoxib,OVCAR-4,-7.888888888888887
Azacitidine,Celecoxib,OVCAR-8,8.666666666666666
Azacitidine,Celecoxib,PC-3,0.7777777777777778
Azacitidine,Celecoxib,RPMI-8226,-4.666666666666667
Azacitidine,Celecoxib,SF-268,-5.333333333333333
Azacitidine,Celecoxib,SF-539,8.222222222222221
Azacitidine,Celecoxib,SK-MEL-28,-15.333333333333336
Azacitidine,Celecoxib,SK-MEL-5,-0.3333333333333333
Azacitidine,Celecoxib,SNB-75,0.6666666666666666
Azacitidine,Celecoxib,SW-620,-4.333333333333333
Azacitidine,Celecoxib,T-47D,7.4444444444444455
Azacitidine,Celecoxib,UACC-257,-6.4444444444444455
Azacitidine,Celecoxib,UACC-62,5.4444444444444455
Azacitidine,Cladribine,A498,-13.777777777777779
Azacitidine,Cladribine,A549/ATCC,1.7777777777777777
Azacitidine,Cladribine,BT-549,2.6666666666666665
Azacitidine,Cladribine,DU-145,1.6666666666666667
Azacitidine,Cladribine,HCT-116,-1.8888888888888888
Azacitidine,Cladribine,HS 578T,1.4444444444444444
Azacitidine,Cladribine,IGROV1,1.2222222222222223
Azacitidine,Cladribine,K-562,-15.111111111111107
Azacitidine,Cladribine,KM12,-13.444444444444445
Azacitidine,Cladribine,LOX IMVI,-18.444444444444443
Azacitidine,Cladribine,MALME-3M,-1.0
Azacitidine,Cladribine,MDA-MB-231/ATCC,-10.555555555555557
Azacitidine,Cladribine,MDA-MB-468,-1.1111111111111112
Azacitidine,Cladribine,NCI-H460,18.11111111111111
Azacitidine,Cladribine,NCI-H522,2.6666666666666665
Azacitidine,Cladribine,OVCAR-3,-10.0
Azacitidine,Cladribine,OVCAR-4,3.0
Azacitidine,Cladribine,OVCAR-8,-15.444444444444445
Azacitidine,Cladribine,PC-3,-4.888888888888889
Azacitidine,Cladribine,RPMI-8226,2.888888888888889
Azacitidine,Cladribine,SF-268,-5.4444444444444455
Azacitidine,Cladribine,SF-539,-18.0
Azacitidine,Cladribine,SK-MEL-28,-6.5555555555555545
Azacitidine,Cladribine,SK-MEL-5,0.3333333333333333
Azacitidine,Cladribine,SNB-75,1.4444444444444444
Azacitidine,Cladribine,SW-620,-2.6666666666666665
Azacitidine,Cladribine,T-47D,-0.5555555555555556
Azacitidine,Cladribine,UACC-257,1.2222222222222223
Azacitidine,Cladribine,UACC-62,6.1111111111111125
Azacitidine,Docetaxel,A498,2.333333333333333
Azacitidine,Docetaxel,A549/ATCC,-0.6666666666666666
Azacitidine,Docetaxel,BT-549,1.3333333333333333
Azacitidine,Docetaxel,DU-145,-0.5555555555555556
Azacitidine,Docetaxel,HCT-116,-3.333333333333333
Azacitidine,Docetaxel,HS 578T,6.5555555555555545
Azacitidine,Docetaxel,IGROV1,-1.4444444444444444
Azacitidine,Docetaxel,K-562,0.3333333333333333
Azacitidine,Docetaxel,KM12,-2.1111111111111107
Azacitidine,Docetaxel,LOX IMVI,-1.0
Azacitidine,Docetaxel,MALME-3M,-2.555555555555556
Azacitidine,Docetaxel,MDA-MB-231/ATCC,-2.1111111111111107
Azacitidine,Docetaxel,MDA-MB-468,3.0
Azacitidine,Docetaxel,NCI-H460,-0.1111111111111111
Azacitidine,Docetaxel,NCI-H522,0.0
Azacitidine,Docetaxel,OVCAR-3,-1.3333333333333333
Azacitidine,Docetaxel,OVCAR-4,-0.3333333333333333
Azacitidine,Docetaxel,OVCAR-8,-6.222222222222222
Azacitidine,Docetaxel,PC-3,-0.7777777777777778
Azacitidine,Docetaxel,RPMI-8226,1.5555555555555556
Azacitidine,Docetaxel,SF-268,-5.111111111111111
Azacitidine,Docetaxel,SF-539,0.0
Azacitidine,Docetaxel,SK-MEL-28,-7.555555555555554
Azacitidine,Docetaxel,SK-MEL-5,2.555555555555556
Azacitidine,Docetaxel,SNB-75,-3.111111111111111
Azacitidine,Docetaxel,SW-620,0.6666666666666666
Azacitidine,Docetaxel,T-47D,-14.111111111111107
Azacitidine,Docetaxel,UACC-257,-4.2222222222222205
Azacitidine,Docetaxel,UACC-62,10.222222222222221
Azacitidine,Fulvestrant,A498,-15.666666666666664
Azacitidine,Fulvestrant,A549/ATCC,-3.888888888888889
Azacitidine,Fulvestrant,BT-549,-2.555555555555556
Azacitidine,Fulvestrant,DU-145,-3.7777777777777777
Azacitidine,Fulvestrant,HCT-116,-4.333333333333333
Azacitidine,Fulvestrant,HS 578T,0.1111111111111111
Azacitidine,Fulvestrant,IGROV1,0.7777777777777778
Azacitidine,Fulvestrant,K-562,-18.444444444444443
Azacitidine,Fulvestrant,KM12,-8.444444444444445
Azacitidine,Fulvestrant,LOX IMVI,-13.222222222222221
Azacitidine,Fulvestrant,MALME-3M,-0.2222222222222222
Azacitidine,Fulvestrant,MDA-MB-231/ATCC,-0.6666666666666666
Azacitidine,Fulvestrant,MDA-MB-468,-1.4444444444444444
Azacitidine,Fulvestrant,NCI-H460,-0.3333333333333333
Azacitidine,Fulvestrant,NCI-H522,-12.333333333333336
Azacitidine,Fulvestrant,OVCAR-3,-11.222222222222221
Azacitidine,Fulvestrant,OVCAR-4,-9.333333333333334
Azacitidine,Fulvestrant,OVCAR-8,-3.888888888888889
Azacitidine,Fulvestrant,PC-3,-1.7777777777777777
Azacitidine,Fulvestrant,RPMI-8226,-3.888888888888889
Azacitidine,Fulvestrant,SF-268,-9.444444444444443
Azacitidine,Fulvestrant,SF-539,-16.0
Azacitidine,Fulvestrant,SK-MEL-28,-15.555555555555555
Azacitidine,Fulvestrant,SK-MEL-5,-5.5555555555555545
Azacitidine,Fulvestrant,SNB-75,0.8888888888888888
Azacitidine,Fulvestrant,SW-620,1.0
Azacitidine,Fulvestrant,T-47D,-2.888888888888889
Azacitidine,Fulvestrant,UACC-257,-4.4444444444444455
Azacitidine,Fulvestrant,UACC-62,-3.888888888888889
Azacitidine,Nilotinib,A498,-23.11111111111111
Azacitidine,Nilotinib,A549/ATCC,-10.333333333333334
Azacitidine,Nilotinib,BT-549,-6.777777777777778
Azacitidine,Nilotinib,DU-145,-6.777777777777778
Azacitidine,Nilotinib,HCT-116,-6.777777777777778
Azacitidine,Nilotinib,HS 578T,0.7777777777777778
Azacitidine,Nilotinib,IGROV1,-6.0
Azacitidine,Nilotinib,K-562,-12.555555555555555
Azacitidine,Nilotinib,KM12,-19.777777777777786
Azacitidine,Nilotinib,LOX IMVI,-21.444444444444443
Azacitidine,Nilotinib,MALME-3M,-15.888888888888893
Azacitidine,Nilotinib,MDA-MB-468,-1.7777777777777777
Azacitidine,Nilotinib,NCI-H460,-0.1111111111111111
Azacitidine,Nilotinib,NCI-H522,-15.0
Azacitidine,Nilotinib,OVCAR-3,-21.11111111111111
Azacitidine,Nilotinib,OVCAR-4,-13.444444444444445
Azacitidine,Nilotinib,OVCAR-8,-24.777777777777786
Azacitidine,Nilotinib,PC-3,-11.444444444444445
Azacitidine,Nilotinib,RPMI-8226,-2.6666666666666665
Azacitidine,Nilotinib,SF-268,-15.333333333333336
Azacitidine,Nilotinib,SF-539,-18.0
Azacitidine,Nilotinib,SK-MEL-28,-20.666666666666668
Azacitidine,Nilotinib,SK-MEL-5,-8.888888888888891
Azacitidine,Nilotinib,SNB-75,-7.0
Azacitidine,Nilotinib,SW-620,-1.2222222222222223
Azacitidine,Nilotinib,T-47D,-9.555555555555557
Azacitidine,Nilotinib,UACC-257,-4.111111111111111
Azacitidine,Paclitaxel,A498,-17.22222222222222
Azacitidine,Paclitaxel,A549/ATCC,-2.7777777777777777
Azacitidine,Paclitaxel,BT-549,1.0
Azacitidine,Paclitaxel,DU-145,-14.555555555555555
Azacitidine,Paclitaxel,HCT-116,-4.333333333333333
Azacitidine,Paclitaxel,HS 578T,2.888888888888889
Azacitidine,Paclitaxel,IGROV1,-3.555555555555556
Azacitidine,Paclitaxel,K-562,-26.555555555555557
Azacitidine,Paclitaxel,KM12,-16.444444444444443
Azacitidine,Paclitaxel,LOX IMVI,-22.0
Azacitidine,Paclitaxel,MALME-3M,-1.2222222222222223
Azacitidine,Paclitaxel,MDA-MB-231/ATCC,-2.0
