Drug,Target
3001,656
3002,1818
3002,2029
3003,2200
3003,2201
3004,8
3004,9
3004,252
3004,554
3004,778
3004,780
3004,787
3004,871
3004,911
3004,1120
3004,1269
3004,1308
3004,1360
3004,1406
3004,2411
3004,2440
3004,2755
3005,656
3006,245
3006,1418
3006,2632
3007,1531
3008,801
3009,719
3010,423
3010,2029
3011,1846
3012,801
3012,1846
3013,8
3013,1269
3014,245
3014,1418
3014,2632
3015,2
3015,1062
3015,1063
3015,1065
3016,858
3016,1531
3017,868
3017,1630
3017,2029
3017,2559
3018,2100
3018,2101
3018,2213
3018,2214
3018,2215
3019,1062
3019,1063
3019,1064
3020,846
