symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ABCA1,26,19,3,2,0,5,0,0,0,14,1,0,0,0,6,0,7,0,0,0,6,0,0,0,0,0,0,2,0,0,0,3,2,4,13,0,0,1,0,0
ABCC1,17,40,34,31,10,10,18,16,19,11,9,15,15,10,8,8,16,6,6,21,29,15,30,22,8,7,16,20,21,3,7,8,33,16,11,16,7,23,7,9
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2,41,32,34,35,33,25,33,21,24,43,14,27,31,16,29,19,30,26,48,42,33,15,34,32,24,30,33,39,15,20,9,40,11,23,32,27,12,19,28,30
ABHD5,5,2,4,4,3,2,3,4,4,8,3,3,10,5,1,5,13,6,2,3,4,3,4,3,11,2,9,9,3,6,4,5,4,6,7,2,9,3,3,3
ABI1,20,12,18,17,16,19,9,14,15,19,6,19,14,23,21,15,13,13,11,7,5,8,22,11,7,24,9,8,11,31,17,9,16,15,24,12,13,7,10,8
ABI2,3,3,3,5,2,3,2,6,6,2,2,2,2,3,5,3,3,4,5,3,12,5,2,4,3,0,5,5,3,4,3,2,5,3,3,6,1,5,3,3
ABL1,29,18,12,17,36,8,26,10,18,13,26,23,46,5,69,12,30,11,5,20,22,19,5,20,4,10,29,17,19,15,9,18,24,40,17,21,16,34,7,10
ABL2,8,9,5,11,15,7,18,5,2,9,6,6,4,3,11,2,12,5,8,4,6,4,3,10,2,2,11,5,6,12,15,11,8,16,5,4,3,14,15,5
ABLIM1,18,12,10,40,2,8,10,30,32,14,0,21,0,28,0,3,14,15,6,12,81,50,37,3,3,15,6,5,3,2,0,7,25,3,2,23,7,6,2,1
ABLIM2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLIM3,11,11,0,2,0,9,2,5,0,12,11,0,0,0,0,1,9,0,0,0,0,0,0,6,13,0,0,26,5,13,10,0,2,11,0,4,1,1,1,5
