src,dest
ABCA1,APOA1
ABCC8,CACNA1A
ABCC8,CACNA1B
ABCC8,CACNA1C
ABCC8,CACNA1D
ABCC8,CACNA1E
ABCC8,CACNA1G
ABCF2,CASP9
ABI1,BRK1
ABI1,CYFIP1
ABI1,CYFIP2
ABI1,NCKAP1
ABI1,WASF1
ABI1,WASF2
ABI1,WASF3
ABI2,BRK1
ABI2,CYFIP1
ABI2,CYFIP2
ABI2,NCKAP1
ABI2,WASF1
ABL1,CBL
ABL1,CRK
ABL1,CRKL
ABL1,ENAH
ABL1,GRB2
ABL1,MYC
ABL1,RAC1
ABL1,RAC3
ABL1,RB1
ABL1,ROBO1
ABL1,ROBO2
ABL1,SHC2
ABL1,SHC4
ABL1,STAT5A
ABL1,STAT5B
ABL2,RAC1
ABL2,RAC3
ACP1,CTNNB1
ACTB,ACTG1
ACTB,ACTL6A
ACTB,ACTN1
ACTB,ACTN4
ACTB,ACTR2
ACTB,ACTR3
ACTB,ACTR3B
ACTB,ACTR3C
ACTB,AFDN
ACTB,ARID1A
ACTB,ARPC1A
ACTB,ARPC1B
ACTB,ARPC2
ACTB,ARPC3
ACTB,ARPC4
ACTB,ARPC5
ACTB,ARPC5L
ACTB,CFL1
ACTB,CFL2
ACTB,CTNNA1
ACTB,CTNNA2
ACTB,DPF1
ACTB,DPF3
ACTB,ITGB3
ACTB,MYL6
ACTB,MYL6B
ACTB,MYL9
ACTB,PFN1
ACTB,PFN2
ACTB,PFN3
ACTB,PFN4
ACTB,PPARG
ACTB,SMARCA2
ACTB,SMARCA4
ACTB,SMARCB1
ACTB,SMARCC1
ACTB,SMARCC2
ACTB,SMARCD1
ACTB,SMARCD2
ACTB,SMARCD3
ACTB,SMARCE1
ACTB,STK3
ACTB,SYNPO
ACTB,TJP1
ACTB,VCL
ACTG1,ACTL6A
ACTG1,ACTN1
ACTG1,ACTN4
ACTG1,ACTR2
ACTG1,ACTR3
ACTG1,ACTR3B
ACTG1,ACTR3C
ACTG1,AFDN
ACTG1,ARID1A
ACTG1,ARPC1A
ACTG1,ARPC1B
ACTG1,ARPC2
ACTG1,ARPC3
ACTG1,ARPC4
ACTG1,ARPC5
ACTG1,ARPC5L
ACTG1,CFL1
ACTG1,CFL2
ACTG1,CTNNA1
ACTG1,CTNNA2
ACTG1,DPF1
ACTG1,DPF3
ACTG1,ITGB3
ACTG1,MYL6
ACTG1,MYL6B
ACTG1,MYL9
ACTG1,PFN1
ACTG1,PFN2
ACTG1,PFN3
ACTG1,PFN4
ACTG1,PPARG
ACTG1,SMARCA2
ACTG1,SMARCA4
ACTG1,SMARCB1
ACTG1,SMARCC1
ACTG1,SMARCC2
ACTG1,STK3
ACTG1,SYNPO
ACTG1,TJP1
ACTG1,VCL
ACTL6A,PPARG
ACTL6A,SMARCA2
ACTL6A,SMARCA4
ACTL6A,SMARCB1
ACTL6A,SMARCC1
