kegg_gene,gene_num
ABCA1,1
ABCC1,2
ABCC8,3
ABCF2,4
ABHD5,5
ABI1,6
ABI2,7
ABL1,8
ABL2,9
ABLIM1,10
ABLIM2,11
ABLIM3,12
ABRAXAS1,13
ACAA1,14
ACACA,15
ACADM,16
ACIN1,17
ACOX1,18
ACOX3,19
ACP1,20
ACP5,21
ACSBG2,22
ACSL1,23
ACSL3,24
ACSL6,25
ACTA2,26
ACTB,27
ACTG1,28
ACTL6A,29
ACTL6B,30
ACTN1,31
ACTN4,32
ACTR2,33
ACTR3,34
ACTR3B,35
ACTR3C,36
ACVR1,37
ACVR1B,38
ACVR1C,39
ACVR2A,40
ACVR2B,41
ACVRL1,42
ADAM10,43
ADAM17,44
ADCY1,45
ADCY2,46
ADCY3,47
ADCY4,48
ADCY5,49
ADCY6,50
ADCY7,51
ADCY8,52
ADCY9,53
ADCYAP1,54
ADCYAP1R1,55
ADGRB1,56
ADIPOR1,57
ADIPOR2,58
ADM,59
ADORA2A,60
ADORA2B,61
ADRA1A,62
ADRA1B,63
ADRA1D,64
ADRA2A,65
ADRA2B,66
ADRA2C,67
ADRB1,68
ADRB2,69
AFDN,70
AGAP2,71
AGRN,72
AGTR1,73
AHR,74
AIFM2,75
AIM2,76
AIP,77
AIPL1,78
AJUBA,79
AKT1,80
AKT1S1,81
AKT2,82
ALDOA,83
ALDOC,84
ALG10B,85
ALG12,86
ALG3,87
ALG6,88
ALG8,89
ALG9,90
ALK,91
ALYREF,92
AMBRA1,93
AMH,94
AMOTL1,95
AMOTL2,96
ANAPC1,97
ANAPC10,98
ANAPC11,99
ANAPC13,100
ANAPC2,101
ANAPC4,102
ANAPC5,103
ANGPTL4,104
ANGPTL8,105
ANK1,106
ANK3,107
AOX1,108
AP1B1,109
AP1G1,110
AP1G2,111
AP1M1,112
AP1M2,113
AP1S1,114
AP1S3,115
AP2A2,116
AP2B1,117
AP2M1,118
AP2S1,119
APAF1,120
APBB1,121
APBB1IP,122
APC,123
APC2,124
APH1B,125
APOA1,126
APOB,127
APOBEC3B,128
APOBEC3C,129
APOBEC3D,130
APOC1,131
APOE,132
APP,133
APPL1,134
AQP1,135
AQP2,136
AQP7,137
ARAP3,138
ARC,139
ARF1,140
ARF6,141
ARHGAP10,142
ARHGAP17,143
ARHGAP5,144
ARHGDIA,145
ARHGDIB,146
ARHGDIG,147
ARHGEF1,148
ARHGEF11,149
ARHGEF12,150
ARHGEF18,151
ARHGEF2,152
ARHGEF25,153
ARHGEF26,154
ARHGEF4,155
ARHGEF7,156
ARID1A,157
ARID1B,158
ARID2,159
ARNT,160
ARNT2,161
