Drug A,Drug B,Cell Line Name,Score
Nilotinib,Mitotane,SF-295,-10.666666666666666
Azacitidine,Cladribine,OVCAR-3,-10.0
Azacitidine,Celecoxib,A549/ATCC,-1.6666666666666667
Megestrol acetate,Lenalidomide,U251,-0.3333333333333333
Imiquimod,Mitotane,IGROV1,-1.5555555555555556
Azacitidine,Nilotinib,PC-3,-11.444444444444445
Fulvestrant,Azacitidine,DU-145,2.333333333333333
Zoledronic acid,Sirolimus,LOX IMVI,-1.2222222222222223
Fulvestrant,Sirolimus,SW-620,-1.2222222222222223
Fulvestrant,Everolimus,T-47D,18.444444444444443
Fulvestrant,Romidepsin,MALME-3M,-3.4444444444444446
Zoledronic acid,Dasatinib,SR,-7.333333333333332
Fulvestrant,Romidepsin,SK-OV-3,-2.333333333333333
Dasatinib,Tretinoin,OVCAR-3,-1.2222222222222223
Fulvestrant,Cladribine,SK-OV-3,-6.1111111111111125
Decitabine,Sirolimus,HS 578T,-0.1111111111111111
Zoledronic acid,Vorinostat,A549/ATCC,-1.4444444444444444
Mitotane,Docetaxel,SW-620,5.4444444444444455
Everolimus,Cladribine,RPMI-8226,-8.666666666666666
Zoledronic acid,Docetaxel,SF-539,-8.0
Fulvestrant,Vorinostat,MDA-MB-231/ATCC,-4.888888888888889
Vorinostat,Azacitidine,A549/ATCC,-1.6666666666666667
Fulvestrant,Romidepsin,SF-539,2.555555555555556
Zoledronic acid,Nilotinib,PC-3,-8.555555555555555
Azacitidine,Sirolimus,RPMI-8226,-1.4444444444444444
Fulvestrant,Everolimus,RPMI-8226,17.666666666666668
Decitabine,Cladribine,DU-145,3.4444444444444446
Dasatinib,Paclitaxel,A498,3.0
Decitabine,Mitotane,NCI-H23,1.8888888888888888
Everolimus,Sirolimus,MALME-3M,-6.222222222222222
Fulvestrant,Celecoxib,OVCAR-4,-6.1111111111111125
Mitotane,Cladribine,HCT-15,-7.777777777777778
Decitabine,Mitotane,SK-OV-3,-6.0
Azacitidine,Celecoxib,SF-268,-5.333333333333333
Sirolimus,Tretinoin,DU-145,-8.777777777777779
Everolimus,Celecoxib,SF-268,-5.777777777777778
Mitotane,Nilotinib,ACHN,-15.888888888888893
Zoledronic acid,Dasatinib,LOX IMVI,-3.111111111111111
Fulvestrant,Dasatinib,A549/ATCC,7.1111111111111125
Fulvestrant,Romidepsin,HS 578T,9.111111111111107
Fulvestrant,Nilotinib,SW-620,-3.333333333333333
Zoledronic acid,Paclitaxel,U251,-10.666666666666666
Zoledronic acid,Cladribine,HCT-116,-4.2222222222222205
Mitotane,Azacitidine,SF-268,-2.888888888888889
Romidepsin,Tretinoin,LOX IMVI,-5.333333333333333
Gefitinib,Lenalidomide,HS 578T,-1.7777777777777777
Vorinostat,Celecoxib,OVCAR-3,-9.333333333333334
Zoledronic acid,Paclitaxel,SW-620,-0.5555555555555556
Fulvestrant,Dasatinib,SF-268,1.6666666666666667
Dasatinib,Celecoxib,NCI-H460,-3.555555555555556
Fulvestrant,Celecoxib,IGROV1,-5.333333333333333
Imiquimod,Sirolimus,SK-OV-3,-0.5555555555555556
Mitotane,Nilotinib,MDA-MB-231/ATCC,-4.333333333333333
Mitotane,Azacitidine,UACC-62,0.5555555555555556
Megestrol acetate,Lenalidomide,A549/ATCC,1.2222222222222223
Nilotinib,Celecoxib,UACC-257,-2.0
Docetaxel,Tretinoin,SF-539,32.22222222222222
Mitotane,Nilotinib,SF-295,-3.333333333333333
Imiquimod,Tretinoin,786-0,-1.6666666666666667
Docetaxel,Cladribine,UACC-62,-11.444444444444445
Mitotane,Celecoxib,SNB-75,-5.5555555555555545
Everolimus,Tretinoin,UACC-62,0.4444444444444444
Decitabine,Mitotane,NCI-H522,-2.888888888888889
Mitotane,Celecoxib,SK-OV-3,-3.0
Dasatinib,Paclitaxel,DU-145,-3.2222222222222223
Everolimus,Paclitaxel,LOX IMVI,-11.777777777777779
Docetaxel,Paclitaxel,OVCAR-3,-10.0
Decitabine,Paclitaxel,ACHN,-0.6666666666666666
Thalidomide,Docetaxel,SK-OV-3,-8.11111111111111
Imiquimod,Docetaxel,HCT-116,-1.5555555555555556
Decitabine,Azacitidine,BT-549,1.2222222222222223
Imiquimod,Azacitidine,786-0,-4.888888888888889
Mitotane,Cladribine,IGROV1,-4.888888888888889
Fulvestrant,Celecoxib,A498,-3.7777777777777777
Fulvestrant,Everolimus,786-0,-9.555555555555557
Imiquimod,Docetaxel,LOX IMVI,-12.777777777777779
Fulvestrant,Dasatinib,SK-MEL-5,-4.666666666666667
Docetaxel,Nilotinib,SNB-75,9.444444444444443
Thalidomide,Sirolimus,UACC-62,4.111111111111111
Romidepsin,Paclitaxel,SF-539,0.4444444444444444
Mitotane,Sirolimus,SK-OV-3,-5.0
Fulvestrant,Azacitidine,HCT-116,-9.888888888888893
Imiquimod,Azacitidine,SK-OV-3,-1.5555555555555556
Azacitidine,Nilotinib,DU-145,-6.777777777777778
