Drug,Target
Cetuximab,EGFR
Cetuximab,C1R
Cetuximab,C1QB
Cetuximab,C1QC
Cetuximab,FCGR2A
Denileukin diftitox,IL2RB
Etanercept,TNF
Etanercept,TNFRSF1B
Etanercept,FCGR2A
Etanercept,LTA
Etanercept,C1R
Etanercept,C1QB
Etanercept,C1QC
Peginterferon alfa-2a,IFNAR2
Peginterferon alfa-2a,IFNAR1
Alteplase,PLAUR
Alteplase,SERPINE1
Interferon alfa-n1,IFNAR2
Interferon alfa-n1,IFNAR1
Darbepoetin alfa,EPOR
Urokinase,PLAUR
Urokinase,PLAU
Urokinase,PLAT
Urokinase,SERPINE1
Urokinase,SERPINA5
Urokinase,LRP2
Goserelin,LHCGR
Reteplase,PLAUR
Reteplase,SERPINE1
Erythropoietin,EPOR
Salmon Calcitonin,CALCR
Interferon alfa-n3,IFNAR1
Interferon alfa-n3,IFNAR2
Sargramostim,SDC2
Secretin,SCTR
Peginterferon alfa-2b,IFNAR1
Peginterferon alfa-2b,IFNAR2
Thyrotropin Alfa,TSHR
"Antihemophilic factor, human recombinant",F10
"Antihemophilic factor, human recombinant",HSPA5
"Antihemophilic factor, human recombinant",CALR
"Antihemophilic factor, human recombinant",LRP1
Anakinra,IL1R1
Immune Globulin Human,FCGR2A
Immune Globulin Human,C5
Anistreplase,PLAUR
Anistreplase,SERPINE1
Insulin Human,INSR
Insulin Human,IGF1R
Insulin Human,RB1
Insulin Human,CTSD
Insulin Human,LRP2
Tenecteplase,PLAUR
Tenecteplase,SERPINE1
Tenecteplase,CALR
Tenecteplase,LRP1
Menotropins,LHCGR
Interferon gamma-1b,IFNGR1
Interferon gamma-1b,IFNGR2
"Interferon Alfa-2a, Recombinant",IFNAR1
"Interferon Alfa-2a, Recombinant",IFNAR2
Desmopressin,AVPR1B
Coagulation factor VIIa Recombinant Human,F10
Coagulation factor VIIa Recombinant Human,F7
Coagulation factor VIIa Recombinant Human,F3
Oprelvekin,IL11RA
Palifermin,FGFR2
Palifermin,NRP1
Palifermin,FGFR1
Palifermin,FGFR4
Palifermin,FGFR3
Palifermin,HSPG2
Glucagon recombinant,GCGR
Glucagon recombinant,GLP1R
Aldesleukin,IL2RB
Botulinum Toxin Type B,VAMP2
Botulinum Toxin Type B,VAMP1
Lutropin alfa,LHCGR
Lyme disease vaccine (recombinant OspA),TLR2
Insulin Lispro,INSR
Insulin Lispro,IGF1R
Insulin Glargine,INSR
Insulin Glargine,IGF1R
Collagenase clostridium histolyticum,COL1A1
Collagenase clostridium histolyticum,COL2A1
Collagenase clostridium histolyticum,COL1A2
Cetrorelix,LHCGR
Adalimumab,TNF
Adalimumab,C1R
Adalimumab,C1QB
Adalimumab,C1QC
Adalimumab,FCGR2A
Somatotropin,GHR
Abciximab,ITGB3
Abciximab,C1R
Abciximab,C1QB
Abciximab,C1QC
Abciximab,FCGR2A
Drotrecogin alfa,F5
Drotrecogin alfa,SERPINE1
Drotrecogin alfa,THBD
Drotrecogin alfa,SERPINA5
Drotrecogin alfa,PROCR
Gemtuzumab ozogamicin,C1R
Gemtuzumab ozogamicin,C1QB
Gemtuzumab ozogamicin,C1QC
Gemtuzumab ozogamicin,FCGR2A
Interferon beta-1a,IFNAR1
Interferon beta-1a,IFNAR2
Pegademase bovine,GRB2
Eptifibatide,ITGB3
Infliximab,TNF
Vasopressin,AVPR1B
Interferon beta-1b,IFNAR1
Interferon beta-1b,IFNAR2
Interferon alfacon-1,IFNAR1
Interferon alfacon-1,IFNAR2
Hyaluronidase,TGFB1
Insulin Pork,INSR
Insulin Pork,IGF1R
Insulin Pork,RB1
Insulin Pork,CTSD
Insulin Pork,LRP2
Trastuzumab,ERBB2
Trastuzumab,EGFR
Trastuzumab,C1R
Trastuzumab,C1QB
Trastuzumab,C1QC
Trastuzumab,FCGR2A
Rituximab,C1R
Rituximab,C1QB
Rituximab,C1QC
Rituximab,FCGR2A
Basiliximab,IL2RB
Basiliximab,FCGR2A
Basiliximab,C1R
Basiliximab,C1QB
Basiliximab,C1QC
Muromonab,CD3D
Muromonab,CD3G
Muromonab,C1R
Muromonab,C1QB
Muromonab,C1QC
Muromonab,FCGR2A
Ibritumomab tiuxetan,C1R
Ibritumomab tiuxetan,C1QB
Ibritumomab tiuxetan,C1QC
Ibritumomab tiuxetan,FCGR2A
Tositumomab,C1R
Tositumomab,C1QB
Tositumomab,C1QC
Tositumomab,FCGR2A
Pegvisomant,GHR
Botulinum Toxin Type A,SNAP25
Streptokinase,F2R
Alemtuzumab,C1R
Alemtuzumab,C1QB
Alemtuzumab,C1QC
Alemtuzumab,FCGR2A
Cyclosporine,PPP3R2
Cyclosporine,PPIF
Alefacept,C1R
Alefacept,C1QB
Alefacept,C1QC
Alefacept,FCGR2A
Efalizumab,C1R
Efalizumab,C1QB
